,base_text,tweet_class,pred_class
19040,"We're investigating a series of robberies which happened on The Downs in Bristol on Friday. The victims were all in their teens and some were assaulted &amp; forced to hand over property.

Can you provide information to help us ID the offenders?

More details:",3.0,1.0
5803,@Adamadamant1111 This is not an incident in Birmingham. It shows an incident from Dublin from 15 June. Gardai are investigating.,2.0,3.0
10257,"There's no set retirement age we have experts working in the department aged between 18 - 70!

#Forensics",1.0,2.0
23458,@baza451 Hi Baza. Thanks for your tweet. If you wish to make a report you can on our website. Thank you.,2.0,1.0
19583,"The #A37 Dorchester Road near #Yeovil – close to Netherton Lane – is closed following a serious injury collision involving a car and a motorbike.

The road is likely to be closed for some time so please avoid the area if you can and use alternative routes.",1.0,3.0
11864,"While our Twitter won’t be monitored, we’ll be working hard over the festive period to keep you safe. 

We hope you won’t need us, but if you do, report non-urgent crimes at:  and always call 999 in emergencies. 

Have a happy and safe Christmas.",2.0,1.0
13762,#GUILTY | A man has admitted manslaughter following the fatal stabbing of 26-yr-old Dylon Barnes in #Ilford #Redbridge in Nov last year.,1.0,3.0
38230,"@BehrouzIX If you have information that you wish to report, please use one of the following options:
* Call 101
* Online Live Chat 
* Independent charity Crimestoppers, anonymously, on 0800 555 111.
* Local public enquiry counters 
Thank you.",3.0,1.0
9764,"@AdamWill_ @AdamWill_ We’re aware of this video, which was filed after we were called to reports of a domestic incident.
Further disorder broke out in the property and officers restrained a suspect.
That video and complaint is currently being assessed.",2.0,1.0
17897,"To mark road victim month we want to reduce the number of people killed and seriously injured on our roads. Did you know if you spot someone committing a road traffic offence, you can submit the dash cam footage to us? @WYP_RPU @WestYorksOPCC",1.0,3.0
29512,"Casualty Bureau's telephone lines are now open

If you are worried about family or friends involved in today’s incident in #LondonBridge, call Casualty Bureau on 0800 0961233 or 0207 158 0197

If you were involved in today’s incident and are safe, please also call Casualty Bureau",1.0,3.0
13613,"As part of #OpSceptre, over 350 weapons sweeps were carried out across London in one day alone. 

As a result, 23 knives and 8 other offensive weapons have now been taken off the streets of the capital.

#TacklingViolenceTogether",2.0,1.0
16446,"The 35-year-old had entered a back garden and was in the middle of trying to force a patio door open when nearby residents called 999.

He tried to run away, but was arrested down the road.

This was some really great work by those who live in the area, well done!",1.0,2.0
37405,"Today our #Walsall Cadets spent the day volunteering at the @CR_UK Walsall #RaceForLife where over 1000 runners took part raising over £63,000!

Check what happened",1.0,2.0
42033,@MisconductSol @policeconduct I'm sure our Officers will have put it on the incident log,2.0,1.0
35611,"Officers in Bradford have been hosting a CSE and Child Exploitation event at The Broadway Centre today. They have been joined by partners including Barnardo's, NHS CSE Specialist, Social Care CSE Specialist, St Giles Trust.",2.0,1.0
31814,Update in relation to Spotland Stadium incident #Rochdale,1.0,3.0
17042,"Ch Insp Steve Kendall, the local area commander, said: “I'd like to reassure the local community the arrest was carried out by specialist officers from the Counter Terrorism Policing network.

“A 33yo man arrested remains in custody and there is no wider threat to the public.""",2.0,1.0
33807,"JOBS | Our latest recruits have just started their journey to become fully fledged PC's. How do you fancy joining them? It’s an amazing career where no two days are the same. Click the link, find out more &amp; apply today.   #policefamily #wmpfamily",1.0,2.0
6953,@shame1923 Good evening. Sorry to hear that this is happening. Can you give us a bit more information on our live chat please?,2.0,1.0
16764,"Our officers have served a woman linked to several events with a warning, and she’s agreed to cancel a planned event.

We are urging people to stay safe this Bank Holiday weekend. Read more",1.0,2.0
7744,"Det Supt Annie Miller ""We need to find the baby’s mother as we are concerned she will need medical help after giving birth. 

""This must have been a very difficult time for her and we are very concerned for her welfare.”

Please get in touch.

More",3.0,2.0
38523,"We support the @policeconduct #MakeYourselfHeard campaign. If you ever need the police but cannot speak, you can make a noise or press '55' when prompted by the operator to let them know that you need emergency assistance #SilentSolution #NSAW19",2.0,1.0
140,"We hope you all had a lovely Christmas!  

 See formed burglar Michael Fraser's tips to keep your belongings safe this festive period! 

 Don't advertise what nice things you had for Christmas when putting your rubbish out!",1.0,2.0
27221,"@72jammy @72jammy Hello, Please can you private message us with further information. Thank you.",2.0,1.0
8728,@Kylebarrowclif1 Thank you Kyle - these details have been added to the report.,2.0,1.0
29857,"Last year @tauntonareacyc1 received over £4,400 from Road Safety Fund to implement a cycle safety campaign for awareness of safe passing &amp; improve cyclists’ confidence on roads. Read more about how they benefited from the fund.",1.0,2.0
35286,The Lord Mayor is supporting the Force campaign to recruit new police officers and staff from our under-represented communities.  Find out more about recruitment:  @elainetaylor156,1.0,2.0
32820,"@BellyDaydream You need Level 3 qualifications in any subject that = 64 UCAS points.

Please visit our ‘Am I eligible’ page on our website for more info:",2.0,1.0
34344,"#CHARITYSINGLE | A caring cop is releasing a charity single  to raise money and awareness for Motor Neurone Disease patients…and to support his former West Midlands Police boss who’s been diagnosed with the illness. 
@mndassoc  #MND

Click below",1.0,2.0
23110,@FixMyBrokenMac Hi there. Sorry to hear you've had a bad experience.  Can you get in touch with us so we can look into this for you?,2.0,1.0
4387,"Officers searching for the whereabouts of missing man George, 68, have sadly found a body in the Cheddar area this morning (Saturday 7 August). 

George's family have been informed, and our thoughts are with them at this difficult time.",2.0,3.0
22170,We are responding to the growing number of complaints from @ASPolice communities about increased #speed. Please only travel if essential and #slowdown say @ASPRoadSafety,1.0,2.0
7898,"Tributes have been paid to a grandfather and 'friend to all' who died following a hit-and-run collision in #Stechford on Sunday. 
 
William Burns suffered serious injuries after being struck by a BMW on Station Road at around 1.30pm.

More",1.0,3.0
3124,There remains 37 people we still want to identify in our online gallery which can be viewed on our website:,3.0,1.0
14012,"@AdsKhan89914275 Hi Ads, You need to be able to answer yes to all the questions from report an incident ( for a prosecution - we hope this helps.",1.0,2.0
10353,"We've taken part in the second series of 'Forensics: The Real CSI' which highlights the crucial role of #forensics in solving serious crimes. 

 You'll be able to learn even more about our highly-skilled staff in the coming weeks. Stay tuned!

More",1.0,2.0
30777,"@mbrooks83 @BristolCouncil We're really sorry to hear about this Martyn, that must've been frightening. Please report this to us if you haven't already so we can look into it for you:",2.0,1.0
23471,"We’ve worked alongside our friends @southandcitycol to donate energy and soft drinks to NHS staff.
There were hundreds of untouched bottles, from a wide variety of brands, left over at the Bordesley Green campus. Read here",1.0,2.0
33229,Come and visit our Greater Manchester Police Museum today from 10.30am. Entry is #FREE and there's lots of interesting things to see. We're on Newton Street in Manchester city centre. Last Entry 15:00. #GMParchives,1.0,2.0
20441,"We’ve charged a teenager with murder in connection with the fatal stabbing of a man in #Walsall last summer.

Ramani Sanderson is accused of stabbing 21 year old Shane Mayer (pictured) during a disorder in Forge Road, #Darlaston, on 24 July. More",1.0,3.0
1541,"We also spoke to Omar Sharif last year, an ex-gang member.

He was just 13 when he first started carrying a knife. When he was 15, his friend Jevonne was stabbed and killed.

It was a horrifying wake-up call for Omar to change.

Watch Omar’s story here",2.0,1.0
40681,"@KerTG Hi Karen, that's an easy one @ASPSouthmead",2.0,1.0
25270,"This should read the number 43 bus, not 33, we're sorry for the typo.",2.0,1.0
27533,"@sexeducation @NetflixUK @asabfb @NcutiGatwa Our heroes  

Speak to us about non-urgent crimes by calling 101 or reporting on our website here:  In emergencies, always call 999.

#SexEducation",2.0,1.0
14492,"This year, many #Halloween traditions are to be avoided due to restrictions that are currently in place across West Yorkshire.

We are urging the public to enjoy the festivities at home to help stop the spread of Coronavirus. 

Find out more at:",1.0,2.0
13570,"18:58hrs | A vehicle collided with the station office at Edmonton Police Station. 

A man has been detained. 

At this stage we have not been informed of any injuries. 

More information as we get it.",1.0,3.0
12876,# CHARGE | A fourth person has been charged with the murder of Christopher George who died following a shooting in #Edmonton #Enfield in July.,1.0,3.0
24009,"@lmjones105 Hi Lee,

Thanks for your tweet. We’re sorry to hear you feel disappointed.

Rest assured we’re working really hard to enforce the restrictions. I’m sure you can imagine it’s a really busy time for us. If you’ve any concerns please live chat with us online.",2.0,1.0
40754,Fatal collision following police pursuit in Greenwich,1.0,3.0
23669,"Stay at home. Protect the NHS. Save lives. 

#StayHomeSaveLives",1.0,2.0
15805,"TOGETHER we can help reduce the spread of coronavirus  and protect our loved ones  

Remember:
 Hands
 Face 
 Space 

#handsfacespace",1.0,2.0
21494,"Det Supt Andy Cox, said: “Speeding can have devastating consequences and every time you recklessly put your foot down, you are posing risk to other road users and your own life. It really is simple, slow down and save lives.”",1.0,2.0
3883,#OpNaseby officers in #Salford had an eventful lunchbreak earlier this week when they overheard a suspicious conversation when in the line for some hot grub - take a look at this!,2.0,1.0
28797,"@cossie_9 Hello, please could you direct message us to provide us with further information. Thank you.",2.0,1.0
42512,"@lillyseaorg Hi Lils.  No, never used Flicker.  We've been on Flickr however for a long time.  #50millionworth",2.0,1.0
29446,"Jack Lindley (19/12/1995) of Wingfield Street, Stretford, has been charged in connection to an assault of a 24-year-old man and two police officers in the early hours of 30/11/19 in Sale.

He will appear at Manchester Magistrates’ Court on 02/12/19.",1.0,3.0
26572,"@ahsamarie No problem, if this has been reported to us, please be assured it will be looked into.",2.0,1.0
41195,An armed trio threatened homeowners before stealing firearms and jewellery in #Hale,1.0,3.0
32827,"Keep people 'Safe &amp; Found'. Read more about the Herbert Protocol as part of National Dementia Carers Day. 

Find out more at:",1.0,2.0
34312,"Detectives from the Flying Squad have released footage, which shows an attack on an innocent warehouse worker, and a white Ford Transit van used by the suspects during a commercial robbery in #Dagenham",1.0,3.0
37301,"Latest News :  Youngsters Showcase Their Skills In Police Football Tournament, Wakefield #police",2.0,1.0
40945,"Ahead of the 20th anniversary of the publication of the Stephen Lawrence Inquiry report, here is a look at some of the changes made to fundamental practices within the Met",1.0,2.0
727,"@gracey_carli @DrProudman Hi Carli, we're sorry to hear about this, can you DM us with some more details so that we can look into this for you?

You can also make a complaint using the link below.",2.0,1.0
9981,@FearlessORG This includes honest and candid interviews from people affected by knife and gang crime and can be found here:,2.0,1.0
2920,"We know we have an urgent duty to do more to protect women and girls.

Here are some questions you can ask if you have concerns about an officer.

If you feel you are in imminent danger, always dial 999.",2.0,1.0
31209,"We have launched an investigation after a man was found dead at an address Birmingham. We were called to Merlin Walk, #CastleVale, around 1.10am this morning. A 60-year-old man was found inside a house &amp; was pronounced dead at the scene. More here",1.0,3.0
1990,@InsanityOutside Thanks for spotting that- I have updated the link now.,2.0,1.0
5060,"Police are currently dealing with a serious road traffic collision in Triangle, Sowerby Bridge. Road closures are in place and motorists are advised to avoid the area and find an alternative route where possible. Thank you.",1.0,3.0
11721,"The Domestic Violence Disclosure Scheme, often called ‘Clare’s Law', gives everyone the right to ask the police if their partner may pose a risk to them.

We are always here to support victims of domestic abuse.",1.0,2.0
26172,"#CONVICTION | A man and a woman have been convicted of the killing of a man whose body was fund in April 2017

Paul Tong, 54. suffered fatal injuries caused by being hit with a dumbbell.",1.0,3.0
607,"Chief Inspector Kev Pickles, who heads Neighbourhood Policing for Leeds District, said: “The dangerous and anti-social behaviour of those who took part in these so-called ‘ride outs’ was completely unacceptable.",1.0,2.0
24987,"#StayHomeSaveLives | We're getting a lot of questions around the announcement from the UK Government last night. The single most important action we can all take, in fighting coronavirus, is to stay at home and save lives. Full guidance is available here:",1.0,2.0
2457,Can you help? Jamie Maiden may be staying outside of the Wolverhampton area within the West Midlands.,3.0,1.0
20105,"DI Sproson “If anyone has been through anything similar, I would urge them to report it to police and I want to reassure them that we will investigate and prosecute those responsible.”",3.0,2.0
29841,"@littlejudda @DavidHu54131696 @littlejudda Hello, what area is this in?",2.0,1.0
14110,"The family of Nicole have released this statement: “We wish to thank people for their well wishes, Nicole will be greatly missed. We request to be left alone to grieve at this difficult time.”",1.0,2.0
34587,"Chief Inspector Ronan Tyrer “We have successfully put three very dangerous men behind bars and in doing so, we are helping to reduce the supply of weapons being transported from other areas of the country into Birmingham...",2.0,1.0
42483,A further person has been arrested as three teenagers remain in hospital in #Bury. All three boys are now in a stable condition.,1.0,3.0
4000,"#KnifeDay | Our knife amnesty bins are now permanently located across Greater Manchester. This is the perfect opportunity to dispose of a knife or bladed article, as no good can come from carrying one! #SaveALifeSurrenderYourKnife #ForeverAmnesty",1.0,2.0
23552,"@BirdGrove @FoleshillWMP Hi, thanks for letting us know about this. We’ve let the local team know.",2.0,1.0
5379,Please follow @MPSFootballUnit and @MetPoliceEvents  for everything #EURO2020 related tonight.,2.0,1.0
33129,"Hi, Jack! Thanks a lot!",2.0,1.0
36684,"In our latest #MinuteOnAMonday, we're talking about specials recruitment. Special Constables have the same powers as a regular police officer, wear the same uniform and perform a wide range of police duties. 

Do you have what it takes? 

Find out more at:",1.0,2.0
24028,"@AvneeshaW Hello, If you reside in the same house, they can pick you up. If you do not, they must not collect you unless absolutely necessary. It is recommended they take some documentation if they have it, of the journey, to provide a reasonable excuse if needed but this is not essential.",2.0,1.0
35573,"The government has a system in place called the National Referral Mechanism (NRM), this is to ensure that victims are correctly identified and supported. 
#WYSafeguardingQandA",1.0,2.0
29100,PD Ted is getting a well-deserved treat today (Tuesday 10 December 2019) after an early morning chase which resulted in the arrest of a 20-year-old man #GoTedGo Find out more here,2.0,1.0
31796,"Latest #Police Transferee Vacancies

We’re looking for outstanding officers who want to be part of our Force in the rank of Chief Inspector / Detective Chief Inspectors.

We are seeking dynamic, innovative and operationally credible leaders.",1.0,2.0
20139,Police are currently in attendance at a serious road traffic collision on the M62 between J29 and J28 Westbound. One vehicle involved and one person has been seriously injured. Full closure of the motorway is in place. Please avoid the area. Follow @HighwaysYORKS for updates,1.0,3.0
25971,"We’re working with @BristolCouncil to manage public safety and minimise disruption but are urging people not to underestimate the scale of this protest, to allow extra time for travel, and to consider whether their journey is necessary.",1.0,2.0
25940,There is still time to vote for PC Louise McMullan &amp; Wolfie . Wolfie is waiting patiently for @Crufts next week &amp; would really appreciate a vote from you. Read their heart wrenching story here    @WMPDogs,1.0,2.0
23418,"Our #Sandwell officers have come up with an idea to do their bit in supporting the NHS.

The brave #Oldbury team are going to shave their hair off next week as their way of thanking front line medical workers.

If you wish to donate visit:",1.0,2.0
20501,"Operation targets violence across the capital and surrounding counties, working with @BTP @kent_police @EssexPoliceUK",1.0,2.0
5328,"@MorePowder @wolvespolice Hello. Thank you for contacting us. Are you, or your friend able to DM us with more information including a log or crime number. And we can take a look. Thanks",2.0,1.0
14044,"Hear what @MrCaseyBailey has to say about the pandemic!

@WestMids_CA wants to know how #Covid19 has affected you – share your views, experiences &amp; advice to help your community 

Complete a short survey for a chance to win an Amazon Voucher
  #ReThink",3.0,2.0
19113,"We’re again this weekend warning anyone planning to attend an illegal rave that they risk being arrested &amp; prosecuted. 

If you suspect a rave or illegal gathering is being organised or there is suspicious activity, contact us on Live Chat  or call 101.",3.0,1.0
29276,"We’re supporting the latest @TerrorismPolice campaign to help keep crowded places secure over the festive period.

The campaign asks the public to remain vigilant and report any concerns to staff, security or the police. 

More here -",1.0,2.0
3637,"Our colleagues in the ambulance service @swasFT are asking for everyone's help to make sure they can help those who need them most at this busy time.
Please only call 999 for an ambulance in a medical emergency.",2.0,1.0
23622,"@ChopsyBristol Hi there, your report will help us build a picture of where people appear to be or are breaching the Government’s advice on physical social distancing and stay at home measures. This information will help to inform our policing patrols.",2.0,1.0
19636,"@chris_jukes Hi Chris, can we help?",2.0,1.0
12562,If you’ve been affected by the #Yasmeen and #Geoff storyline on #Corrie - help is available for all.  #police @itvcorrie,2.0,1.0
22661,"Is your child an aspiring coder? 

Help them develop their skills with @CodeClub by @Raspberry_Pi. 

Code Club has online project plans which kids can follow to learn about coding and technology, designed for 9-13 year olds.",2.0,1.0
39388,"@Kitty_B_Good @BristolLive Hi Katherine, we certainly don't want to arrest you just so you can see behind the scenes of a police station  You might be interested in a ride along. More info here:",2.0,1.0
4227,"@guntoourhearts Hello, How can we help you today?",2.0,1.0
13514,"@Jules_Clarke Hello, it's also legal to use powered transportation on private land with the permission of the land owner. Full info here:  Thank you.",1.0,2.0
16724,"DCI Griffiths ""We are working around the clock to understand exactly what happened and find those responsible.”

We can be contacted via Live Chat on our website or by calling 101. Crimestoppers can be contacted anonymously on 0800 555 111 - tell us what you know not who you are.",1.0,3.0
3677,"We want to hear from YOU |  How could we improve our police Twitter account? 

Complete the short, anonymous survey below to have your say.",3.0,2.0
24218,"Let’s keep London looking empty.

We understand you might be tempted to head out in the good weather this weekend, but please follow the Government rules. 

They are not optional. They will protect the NHS, save lives and prevent the spread of the virus.   

#StayHomeSaveLives",1.0,2.0
30801,"@Dansmith306 Hello, Please can you private message us with further information. Thank you.",2.0,1.0
33674,"The moped was driven on the pavement and almost collided with a member of the public during the pursuit, which came to an end when a police car made tactical contact.",1.0,3.0
23121,"Thanks to your sacrifices, social distancing is working. But if we stop now, we risk increasing the spread of #Covid19. Stay home and continue to save the NHS.",2.0,1.0
32242,@grang3hill Perhaps @AVFC_WMP can help?,2.0,3.0
10125,"@Stacexy88 @SheldonWMP Hi Stacey, Do you mind following us please so I can send you a message around this please? Thanks :)",2.0,1.0
9799,"#CHARGED | Two teenagers have been charged after a car was stolen in Birmingham on Saturday (20 Feb) with the owner’s two children still inside.

The pair, both aged 15, stand accused of kidnap x2 and aggravated theft of a motor vehicle. 

Full story",1.0,3.0
10842,"Police are always here to help.

Lockdown rules do not apply if you are at risk of or experiencing domestic abuse. At home shouldn't ever mean at risk.

We will support any and all victims of abuse, no matter how it presents itself.

#YouAreNotAlone",2.0,1.0
3579,"What do you want to see from us on Twitter?

 Our quick survey giving you the chance to shape our social future closes TODAY.

 What do you like? What don't you like?

 Hit like, RT and leave a comment when you're done!

Start",3.0,2.0
38470,"Charges Over Firearms Discharge, Marina Terrace, Huddersfield #police",1.0,3.0
26768,Latest News :  West Yorkshire Police rated ‘Outstanding’ for efficiency in report out today #police,2.0,1.0
26641,"The Met will deploy Live Facial Recognition on Tuesday 11 February at key locations in #Stratford between 1100 - 1630.

This is part of a proactive policing operation to focus on violent and other serious offences.

#TacklingViolenceTogether

  |",2.0,1.0
30727,"#WATCH | #TheMet at 9pm tonight on @BBCOne 

Ealing officers respond to 999 calls 
Detectives investigate after a man is found with a single stab wound to the heart 
Our Community Safety Unit investigate allegations of emotional, physical and financial abuse",1.0,2.0
2178,"We've charged eight more people with riot as part of our inquiry into the incident in Bristol on 21 March.

Full update here - 

We still need help identifying a number of people on our gallery -  - please call 101 if you can help.",3.0,1.0
22916,"""We never expected to see it again. Thanks guys, you've been amazing.""

A Somerset family thanked police and public for helping us reunite them with a stolen quad bike, found in Bridgwater. Report info about theft online or on 101 giving ref 5220086919.",2.0,3.0
27203,"@saj__azim Hello, How can we help you today?",2.0,1.0
21669,@Andy_Newc Do you need assistance with something?,2.0,3.0
9124,"We know vigils are being organised this weekend following the tragic death of Sarah Everard.

We remain in a health crisis &amp; we would urge people to not attend a large public gathering.

See our statement following a ruling in the High Court earlier today:",2.0,1.0
36103,A little fur from the truth…read about the crime-fighting Panda that was inspired by West Midlands Police and written by one of our very own talented police officers.,1.0,2.0
35674,"There are a variety ways to report, but we would recommend contacting @CrimestoppersUK either online or at 0800 555 111. All reports are anonymous.",3.0,1.0
25476,"Did you know that in the first half of 2019, a total of £616 million was lost through authorised and unauthorised fraud? We’re supporting #TakeFiveWeek 2020 which is raising awareness of advice to help you to #StopChallengeProtect your money:",1.0,2.0
27692,@inhoclocus2 @Socialistdawn @inhoclocus2 Officers have located this individual. Thank you for making us aware.,2.0,1.0
1165,"#ThrowbackThursday | From @GMPMuseum's collection - A police officer with a GMP’s Land Rover, taken on 1 July 1976. The location is said to be somewhere between Rochdale &amp; Bacup. The area has long been used to train the Force’s traffic officers in the art of off-road driving.",2.0,3.0
20799,"@WasiqUK Hi Wasim, We can't say for sure, but we believe it may have happened in the West Midlands area, possibly Birmingham.

If it turns out that it's another force we'll pass the investigation over. For now, anyone with info should contact us.",2.0,1.0
27148,"@tahiyah_r Hello, did you get through to an advisor?",2.0,1.0
3510,"#WorldSuicidePreventionDay. Let's reach out to those facing difficult times - @MindCharity advises on talking about suicidal feelings.

If you're struggling please call Samaritans on 116 123. 

If you've been impacted, visit 

You are not alone.

#Hope",2.0,1.0
10004,Latest News :  Halifax Man Jailed For Aggravated Burglary #police,1.0,3.0
10354,"@noodlebug11 Hi there, thanks for your Tweet.  We have passed this onto the relevant team.",2.0,1.0
32904,@CraigoW116 @BBCPanorama That will make it more difficult for traffickers to operate.,2.0,1.0
16660,"@Triciahorsley @cmpg_ciu Hi Patricia, we have issued an appeals in relation to this incident previously.",2.0,3.0
27129,"@OmgItsUzzi Hello, Please can you private message us with further information. Thank you.",2.0,1.0
23502,"A man has been arrested following a pursuit of a suspect vehicle from east London onto the #M11 near #Chigwell

A number of police cars were damaged as the pursuit ended. 

@EssexPoliceUK are working to reopen junctions 6 to 4 as soon as possible.

There were no serious injuries.",1.0,3.0
17013,"#WINNER: This is Tracy Baker. She's been named our PCSO of the Year. Congratulations Tracy! 

She's been a constant community presence in #Kingstanding for the last 15 years after swapping financial services for foot patrols.

Read Tracy's story here",2.0,1.0
23724,"@liam_omeara @TyBracey Hi Liam, Our officers stopped off at a few houses while out on patrol.",2.0,1.0
36505,One of our most senior officers @ACCMurray has made an arrest on his final day with the force - 22 years after collaring a crook on his first day in uniform!,1.0,2.0
41896,"A man's been jailed having previously pleaded guilty to manslaughter / DI Catino said: ""This is unfortunately another sad example of the consequences of carrying knives. We must all work hard to prevent any further loss of lives""",1.0,2.0
1502,"PCSO recruitment is officially open! 

Are you looking for a new role to inspire you and make a real difference within your local communities? 

Find out more at:",1.0,2.0
17749,Lockdown in the North - a message from Deputy Chief Constable Ian Pilling ahead of what is set to be a sunny weekend. New legislation in light of the new guidance from Government. Please do your bit and help to slow the spread of Coronavirus.,1.0,2.0
22465,#StayAtHomeGM | Greater Manchester is joining together by staying apart. Thank you to everyone staying home to save lives and protect the #NHS. #StayHomeSaveLives,1.0,2.0
31231,Man and woman charged after the death of a baby girl in #Radcliffe,1.0,3.0
16190,Tune into @BBCCrimewatch at 9.15am on BBC1 today to see how #Kirklees detectives caught a man responsible for a hammer robbery in 2017.,2.0,3.0
20681,"Do you have a child aged between 5 and 16 who would love to be in with a chance of winning an iPad? If you do, then take a look at our #Safe4Summer quiz:",2.0,1.0
20364,"@Bigbecksy @bbcmtd Hi, Simon. There were reports of people in possession of knives. They were searched, and none were found. A knife was found nearby and we're investigating if it is linked. We have shared images of three people we want to speak to about the violent disorder.",2.0,1.0
24180,"@jodie_m Our link service just failed so apologies.  If you google ""COVID report GMP"" you will see our report page.  We do hope your dad is OK Jodie.",2.0,1.0
39608,"""I'd never experienced extreme racial abuse, violent threatening behaviour and intimidating far right views from parents at school."" This parent has been jailed for racist abuse toward's a teacher at his child's school.",2.0,1.0
28546,Detectives investigating a fatal stabbing in #Walthamstow have named the victim as 24-year-old Michael Paul Baptista of #WalthamForest - A man has been charged with his murder.,1.0,3.0
2289,"The Met is constantly striving to achieve the recruitment aspirations that have been voiced by the Commissioner. Our Outreach Recruitment Programme covers all boroughs, reaching out to under-represented communities. Find out how to start your career at:",1.0,2.0
4170,"@BaronBromwich @WednesburyWMP Having an untaxed car, even if it's on a driveway, can result in a fine and the car being impounded or destroyed.

Applying for vehicle tax helps the DVLA maintain accurate vehicle records, which is important for road safety purposes and traceability.",2.0,1.0
11447,"@DaveAng41141941 @baz82921815 A good, cheap motor? Really? One that's bodged together in a backstreet garage with stolen parts and sold on without any safety checks.

We found some cars re-sold with no airbags or faulty airbags that would not deploy in a crash.

You have an odd definition of a ""good motor""!",2.0,1.0
6644,GMP officers who are part of the @Police_Now National Leadership Programme describe how they have been working within our local neighbourhood teams to help tackle anti-social behaviour,1.0,2.0
15705,@PoliceMutual The @NWMwayPolice #RCVU (Regional Commercial Vehicle Unit) (partnership between @gmpolice @cheshirepolice and @MerseyPolice) eggcellent piece of work.,2.0,1.0
21144,@thedmxdj Sometimes when passing an incident things may not be as they seem. We would rather find nothing happening than no one calling us to report an incident where someone may have been assaulted.,2.0,1.0
20941,We worked closely with police colleagues from @warkspolice @WMerciaPolice  after seeing the illegal cruisers travel not only across our force area but also into #Droitwich &amp; #Coleshill. Four people were arrested including a wanted person.,2.0,1.0
33477,"This is great to see! PC Gareth Phillips, who was left critically injured when he was run over by a hijacked police car, got a morale-boosting hospital visit from his beloved dog, Diesel. Get the full story",1.0,3.0
42777,"A man who died after being stabbed at a property in the Easton area of #Bristol has been identified as 32y/o Bashir Abdullah.

DI Mike Buck said: ""Our thoughts go out to the friends &amp; family of Bashir who are going through a terrible ordeal.""

Full update:",3.0,1.0
1104,"@L3w15_g Hello, I am sorry to hear this happened and that are unhappy with our response. If you would like to make a complaint, you can do that on our website. 



Is there anything else we can help you with today?",2.0,1.0
16158,Theft of Wheels From Church Mini-Bus In Huddersfield #police,1.0,3.0
31295,#Gallery | Dawn raids saw three people arrested as part of an attempted murder investigation operating across #Stockport. You can view images from Operation Warren on our #GMPGallery here:,2.0,1.0
42605,"We're on scene in Farr Ave, #Barking following a call to an aggravated burglary at 5am today. A woman, 22, and a man, 27, were stabbed in the hand and arm respectively. Conditions not life-threatening. It was reported that a firearm was seen. No shots fired. No arrest as yet.",1.0,3.0
