,base_text,tweet_class
20538,"We’ve charged a teenager with murder in connection with the fatal stabbing of a man in #Walsall last summer.

Ramani Sanderson is accused of stabbing 21 year old Shane Mayer (pictured) during a disorder in Forge Road, #Darlaston, on 24 July. More",1
21788,"@paz565 @WM_AMP @DaveThompsonCC @JayneMeirWMP @paz565 @WM_AMP Hello Paz, Thanks for the genuine question  The Ramadan Challenge is typically for one day. But some officers have done longer periods of fasting alongside Muslim colleagues who're fasting for the whole month.",2
29034,@redwytch We’re aware of offensive comments being shared on social media which are reportedly from the personal account of a serving West Midlands Police officer and we are investigating the full circumstances.,2
10402,"There's not long to go until 'Forensics: The Real CSI' on @BBCTwo tomorrow night.

 But don't just watch it, get involved. 

Our very own @ADForensicsWMP will be answering YOUR questions in a Twitter Q&amp;A from 9pm-11pm - right here on @WMPolice.

#Forensics #TheRealCSI",1
29261,"There’s only 14 days to go until #Christmas  and we’re working around the clock to deliver the one thing on the top of our list – your safety.

Enjoy the festive season and stay safe 

#CommunitiesDefeatTerrorism",1
19081,"@wilfriedzaha Hi Wilfried, we are looking into who the owner of this account is and would encourage you to report it to your local police force too.",2
28840,"#WANTED | Can you help @DerbysPolice find Daniel Russell? He's absconded from HMP Sudbury and has links to the #Walsall area.

Please contact Derbyshire Police if you have ANY information.",3
25395,"Child sexual exploitation is a crime. Parents and carers need to know the signs.

Find out more  

#seemehearme #CSEDay20",1
16927,"A #Leicester man has been jailed for 12 years after he broke into a house in #Birmingham then raped and sexually assaulted a woman.

Jason Murty, subjected the woman to an 11 hour attack on the 20 February earlier this year.

Read more",1
12665,"#STALKING | Sadly stalking is increasing at the moment. 

 If you're worried about your safety, download the free @Hollie_Guard app below.

 A simple tap or shake of your phone records what’s happening, calls your emergency contact and gives them your location. 

#16Days",1
23675,@VictoriaMounta4 @GOVUK @BorisJohnson @NHSuk @OFFICIALWMAS Thank you Victoria,2
10318,"Thank you Joanne 

We're so proud of our wonderful team 

#forensics",2
23710,"@_ItsMe01_ Hi, we’ve sent you a dm. Thanks",2
22238,"#RECRUITMENT| A former Army Major has fulfilled her lifetime ambition by joining us as a student officer - and is urging others to follow her lead. 

Lyn Moldrik had a 36 year with the military service and is now training in our CID team

Read more",1
27882,"#GOODNEWS | Two dogs stolen in a burglary in #Quinton on Tuesday (14th January) have been reunited with their owners.
The dogs, Remy and Rocco, were returned to their home in Four Acres this afternoon (16 January).
No arrests have been made and enquiries continue.",1
25114,"We really need to make sure that our phone lines are free to take calls from people in an emergency who really need our help. 

Please don't call 101 or 999 with questions about staying at home.
 
All the information can be found here",1
17835,"We act on information from you to tackle these kind of events so we can stop them from happening and help keep you safe. 

We urge anyone who hears of plans for raves and large gatherings to inform us. 

Your information can help us to stop these from happening.",3
23645,"We’ve worked alongside our friends @southandcitycol to donate energy and soft drinks to NHS staff.
There were hundreds of untouched bottles, from a wide variety of brands, left over at the Bordesley Green campus. Read here",1
4702,"We know noise nuisance like loud music or parties can be a real headache, but it’s not a job for the police.

 There are people who can help.

 If you’re being regularly disturbed, get advice on who to turn to by tapping below.",1
14533,"@brumpolice Anyone with information has been asked to get in touch, quoting 20BW/97625B/20.

Get in touch via Live Chat or via Crimestoppers anonymously on 0800 555 111.",3
20910,"@adilray We’re aware of this video and making further enquiries.

At present we don't know where, or when this happened and we need to find out who is involved.

Please call us on 101 (ask for West Midlands Police) or use Live Chat at  if you have any info.",3
31607,@stophateuk Did you know you can now report hate crime to us and get advice via a new app? Just search 'hate crime' in your phone's app store and look for the @WMPolice logo.,1
32136,"| We don't show footage like this lightly, but the cyclist involved wants you to see what happens when people drive dangerously. 
The victim is still suffering the effects of what happened, more than a year later. Full story",1
21262,@thedmxdj Sometimes when passing an incident things may not be as they seem. We would rather find nothing happening than no one calling us to report an incident where someone may have been assaulted.,2
38952,BABY DEATH: This is Abigail Palmer from #Solihull who's been jailed for squeezing her 2-month-old baby to death. We worked with @wmgwarwick whose micro-CT technology identified tiny fractures to the baby's ribs &amp; helped us secure Palmer's conviction. More:,1
4673,"Today was a special day as the @ukpmemorial was unveiled in memory of our police family who have given their lives in the line of duty.

Their bravery, courage and sacrifice will forever be commemorated. We will always remember them. 

#CourageandSacrifice",2
14547,"It happened at a One Stop shop in Prospect Lane at around 9.25pm on 12 October.
Contact us via Live Chat, or by calling 101, and quote 20SH/248603X/20.",3
24565,LIVE NOW | @DaveThompsonCC takes YOUR #COVIDー19  policing questions on @bbcwm.  Listen live at the link. #covid19UK,2
18842,"@p_w_l @kevkirrane @jgpowell13 Hi there. If you need to report something to us, you can get in touch via Live Chat at",1
8807,"#24HoursInCustody | Here's a blast from UK policing's past. 

It's the oldest mugshot at @WMPHistory (and possibly the oldest in the UK).

It's Isaac Ellery, who was sentenced to seven years transportation for stealing carriage cushions in 1853.

More ☞",1
26119,There is still time to vote for PC Louise McMullan &amp; Wolfie . Wolfie is waiting patiently for @Crufts next week &amp; would really appreciate a vote from you. Read their heart wrenching story here    @WMPDogs,1
10945,"As it's #NationalReadingDay
It's a perfect excuse, wouldn't you say?
To introduce our newest pups
with a poem to you, from us

We had some help from @CoppiceB75 school, 
to name the pups, aren't they cool?
Characters from their favourite books 
@wmpdogs can catch the crooks!",2
16502,"#ICYMI |  Organisers of illegal gatherings of more than 30 people can now be fined up to £10,000.

 You can also be fined £100 for attending! 

 We’ve already had to shut down raves, silent discos, barbecues and garden parties. 

Read more here",1
28934,"#COLLISION | Police are urging motorists to avoid New John Street West after a collision involving a police car and a pedestrian.
It happened just before 5.50pm near Lucas Circus, and the pedestrian, a 25-year-old man, suffered a leg injury.",1
30744,"@EvanD @brumpolice Hi, Evan. We always get permission from parents/guardians before appealing for help in finding missing children. The more information we can give, the higher the chance of finding the missing people. We always remove appeals once the person has been located.",2
10930,"@KarrieDreammind We hear the criticism that some are saying about our actions to police restrictions and, we more than anyone, want to concentrate on catching criminals, so our message is clear – stick to the rules and let us do our job of protecting communities and solving crime.",2
9915,"Jake Anderson didn’t get through the paper sift but his positive attitude changed everything!

 He called for feedback and we were so impressed that we reviewed his application. He's now a Digital Forensics expert.

His role means that he uncovers people’s online secrets...",2
11191,"#THANKYOU | We really want to thank everyone who's doing their bit to save lives during this pandemic. 

When you stay at home, and follow the rules on masks, gatherings and travel, it means we can spend more time doing things like this",2
32703,"We are appealing for information following a fatal collision on Poplar Road, #Solihull this morning. Officers were called at around 7.40am after a woman was hit by a bus. Sadly, the woman was pronounced dead at the scene a short time later. More here:",3
27344,"#ARREST |  Thank you for sharing a wanted appeal we issued yesterday far and wide! 

We were appealing to trace a 37-year-old man who is alleged to have made threats &amp; harassed someone.

He’s just been arrested in #Staffs &amp; is now on his way to a custody block in the West Mids",3
41392,"Mr Thompson said: “Lee Bartram was yesterday sentenced to 16 months in jail, suspended for two years, having been convicted of possessing indecent images of children and misconduct in a public office...",1
25735,#APPEAL| PLEASE RT. Do you know who this silver pendant belongs to? Is it yours? Please get in touch with @TiptonWMP so we can get it back to its owner as it clearly holds a lot of sentimental value.,3
1206,"@Naughtydonna1 Good afternoon, sorry to hear this has happened. Please can I check you have reported this to us and have shared these CCTV images? 
If you have not yet reported this crime, you can do here via Live Chat.",1
18948,#CHARGED | Three bosses at a West Midlands recycling company have been charged with gross negligence manslaughter following the death of a worker in Oldbury nearly three years ago. Read full story here:,1
4065,"Now more than ever, lets keep each other safe. 

If you see something that doesn’t look right, trust your instincts and ACT. 
Report it to the police or security staff.

In an emergency call 999. 
#CommunitiesDefeatTerrorism",1
34382,Our gorgeous #harrypotter litter are all grown up now but we wanted to share this adorable video of when they were puppies. #HappyBirthdayHarryPotter #HappyBirthdayJKRowling @jk_rowling ️,2
18009,"Supt Martin Hurcomb ""We understand the anxiety and impact this virus has had and continues to have on people and assure you we have done everything necessary to minimise the risk.""",2
5696,"We ask that you please stop sharing this video and do not speculate on the circumstances at this time, as it may hinder our investigation.
We’ll provide further updates as the investigation progresses.",2
10130,"#RECRUITMENT | A chance conversation with officers at @BHX_Police inspired PC Gurdeep Karra to apply and join our student officer programme.

Want to join and follow in Gurdeep’s footsteps? Read more, today    #NAW2021",1
15878,"TOGETHER we can help reduce the spread of coronavirus  and protect our loved ones  

Remember:
 Hands
 Face 
 Space 

#handsfacespace",1
20804,"We'll continue to work with communities and those taking part in any future protests to ensure safety people's safety. West Midlands Police, and our colleagues around the country, stand alongside those globally who are appalled and horrified by the way George Floyd lost his life.",2
30104,"Any suspicious behaviour can be reported via Live Chat at  between 8am and midnight or by calling 101 anytime.

In an emergency always dial 999. To remain anonymous please contact @CrimestoppersUK on 0800 555 111.",1
21358,"@stumccullagh @stumccullagh We only use a taser when faced with a serious threat. But if you're concerned about mini motorbike riders, this recent article might be of interest to you...",2
1464,"We can’t wait for you to join us Harvey! 

 If your child is interested in joining the police - see how they can also join the cadets here   @CadetsWMP",2
23774,"The family of a 13-year-old boy who died after being hit by a car in Erdington have paid tribute to his loving nature and 'heart of gold’.
Mason O'Grady has been described as 'kind, loving and genuine and someone who brought 'joy to the life of everyone’:",2
28189,@ISMAIL2326 @Gangs_WMP @WMidsAlerts @WMPTIU @BhamCityCouncil @ShabanaMahmood Hi there. Take a look at this page for some advice on what you can do about this problem.,1
2399,"#JAILED | A stalker who harassed women across the country – claiming to have found their missing dogs before bombarding them with indecent images – has been jailed. 

We tracked activity on Steven Bowkett’s phone to the Sheldon area of Birmingham.

More",1
13990,"#POPPIES: We're proudly displaying poppies on 100s of our police vehicles in tribute to fallen war heroes.

They feature a wartime aeroplane to mark 80 years since the Battle of Britain.

We're also raising money for @PoppyLegion",2
9337,"We are also spending today reflecting on how far as a force we have come. 

While operational policing was once thought of as traditionally male, our new officer intakes are steadily changing the way our front line looks. #IWD2021",2
17182,"DI Whitehouse ""My thoughts remain with the couple’s wider family and friends. I can’t imagine how they are feeling; the shock and pain that his actions have caused will stay with them forever.

“I hope the guilty verdict today provides them with some comfort.""",2
12716,"#KNIFECRIME | Four men are facing jail today for stabbing a young man to death as he enjoyed a night out in #Solihull.

Jack Donoghue (pictured right) was stabbed once after by a violent gang which had attacked passers-by outside Popworld.

Full story",1
39962,"#APPEAL | In June 2018 a man assaulted an 11-year-old girl in Babbs Mill Park, Solihull. He tried to rape her.

Today @BBCCrimewatch aired an appeal to help us find her attacker. Watch the clip here:  &amp; get in touch if you have ANY info.

@SHCommanderWMP",3
8941,"#ARREST (2): Our 2nd arrest is a 32-year-old woman from #Shropshire.

We believe she's linked to a #CountyLines drugs supply chain from #Birmingham to #Hereford.

Arrested on suspicion of possessing drugs with intent to supply #24HoursInCustody",1
4178,"@BaronBromwich @WednesburyWMP Having an untaxed car, even if it's on a driveway, can result in a fine and the car being impounded or destroyed.

Applying for vehicle tax helps the DVLA maintain accurate vehicle records, which is important for road safety purposes and traceability.",2
595,"@SimplyThom @Sutton_WMP This is a national initiative and there are already several Speedwatch groups set up in Birmingham.

To find a group near you or to start one up, contact your neighbourhood team by entering your postcode in the 'Find your neighbourhood page' section here",1
1440,"@NinjaTHaii Good afternoon. I'm afraid we're not able to take complaints over the phone, but please be assured that what you send us will be properly reviewed.",1
16459,"#BREAKING | We've arrested a man on suspicion of murder and seven counts of attempted murder in connection with the #BirminghamStabbings.

The man, 27, was held at an address in Selly Oak, #Birmingham, at around 4am today.

Full story",1
22437,@pipermajor Hi there. We're thoroughly investigating this. See our statement,1
29867,"Three years ago today we were dancing, since then we have had the UK’s first forced marriage conviction.

Our message remains the same, if you’re being forced into marrying someone you don’t want to - we are here to help.

#StopForcedMarriage",1
20820,@Osborneosaurus Hi there. The officer involved was given a final written warning. You can see the details from @policeconduct here.,1
10036,"#ICYMI | There's widespread media coverage today of our footage showing officers shutting down an illegal nightclub in #Birmingham, and uncovering a bar called the Covid Arms which had been set up in a garage workshop.

Full story",1
23325,"@MichaelSemionov Hi, Michael. This gathering had spilled on to the pavement, so we advised the group and they agreed to move inside.",2
25582,"@Bootneck107 Hi, Jonah. Are you signed up to our WMNow service? When you join, you get a discount code. More info here",1
199,"@SikhFedUK @DaveThompsonCC @IPCOffice @andy4wm @PreetKGillMP @khalid4PB @GarySambrook89 @liambyrnemp @jessphillips @JackDromeyMP @steve_mccabe @Nicola4WBE @Shaun4WBW Please see our statement below regarding this matter. 

You can also see the @policeconduct statement regarding their investigation here",1
33355,@HarlowCID Welcome! Glad you like it :-),2
33670,"This is great to see! PC Gareth Phillips, who was left critically injured when he was run over by a hijacked police car, got a morale-boosting hospital visit from his beloved dog, Diesel. Get the full story",1
2920,"Today is #StomaAware day, and our brave officers, PC Mark Woodcock, AKA @stomacopwmp and PC Luke Jemson recently appeared on 
@BBCCrimewatch  to share their story. 

@ColostomyUK 
@CrohnsColitisUK 
@WalsallHcareNHS
 @Trafficwmp
Well done both!!",1
24387,Officers across the force have recovered a number of weapons overnight in #Coventry &amp; #Birmingham in various pursuits &amp; warrants. One man has been arrested &amp; two teenagers have been charged. Read more here,1
23638,"@gurjj_ Hi Gurj, any reports about breaches should be made on our website. Thank you.",1
22142,"Over 170 people have been caught speeding in just three days during a crackdown by motorway officers.

@CMPG launched a month-long speeding operation starting on Friday (8 May) on the M6 and A500 in Staffs following an increase in speeding.

More",1
7163,"Some of our Black officers came together to mark #BlackInclusionWeek with a special patrol in #Birmingham.

 We're working hard to close the gap on true representation amongst our workforce.

 Could you help us? 

Find out",2
9306,"#IWD2021 | The growing impact of women in football has seen female players and pundits become role models to millions. 

And such positive influences are not only on the pitch, touchline or studio panels but in our own @FootballUnitWMP.

More",2
23556,"@worrall_stacey Great name suggestions, although Captain Morgan is a spiced rum! We still kinda like it though!",2
5779,"We’ve launched an investigation after three people were injured in disorder on Stony Lane, #Smethwick at around 4.45pm yesterday afternoon (23 June).

Five people have been arrested and are currently in custody.

Full story",1
30632,"@AdLovesCrisps @brumpolice @BrumCityWMP Hi Adam, we have both plain clothed and uniformed officers  patrolling the city centre, so just because you can't see us doesn't mean we're not around.",2
21381,"#cteam stetchford working the late shift today, #ResponseTakeover located a stolen car earlier, vehicle was on false plates has now been recovered and 2 offenders arrested and awaiting interview, with our colleagues @DetectivesWMP, @SparkbrookWMP",1
20433,"A further two people have also been identified and will be voluntary interviewed in due course.

A silver baton seen in the footage has been recovered. A knife that was found in a nearby bin just after the incident will be forensically examined. 

More",1
31020,"Bonfire Night is just around the corner! 

To make sure your family’s night goes off with a bang, follow these expert tips from @WestMidsFire, and ensure you have a safe night all round.

Top tips",1
6771,"@EventsAreGood A suspect has been arrested and released with bail conditions, including not to enter Birmingham, while we continue to gather witness evidence before we present a file to the CPS.

More here",1
19306,"@Bernie19795584 @nxcoventry Hi, Bernie. Can you get in touch with us via Live Chat to give us the details? Thanks.",1
35632,"A 38-year-old man and a 49-year-old woman were detained from an address in Birmingham for questioning in connection with alleged fraud offences of donated charitable funds. 
The pair are being held at a police station in the West Midlands.",1
37023,@mmmmmrob @BhamCityCouncil @DVLAgovuk Is it taxed?,2
32839,"@JosephMcColl Hi Joseph, thanks for getting in touch. This can be handed in to your nearest police station that has a front desk open to the public.",1
21785,@Andy_Newc @Andy_Newc In order to report a crime?,2
13646,"#BREAKING | #Coventry teen Jaydon James’ killers have been jailed for life. Abdi Hussein Abdi will serve a minimum of 23 years and Frank Kenfack will serve a minimum of 17 years in prison. 

Full story:",1
23052,@jamieorobinson We did Jamie. Here it is in case you missed it,1
5487,"@M4rzbar Thank you - we have just followed you, if you are able to follow us, we can DM you.",2
7341,"“Reece and his son had an amazing bond and he is our constant reminder of Reece. It has broken our hearts to see the torment he has had to go through, losing his dad at the age of four.""",2
15227,@BAGGIEBIRD71 Hi there. You can report breaches to us on our website here.,1
35299,This is what the journey to the police cells looked like today for our suspects. #LifeorKnife,2
5387,@hse1232 @CoolnessOfHind Hello- The woman was arrested to prevent a breach of the peace due to her behaviour at the cordon. Once arrested she was cautioned (ie. ‘read her rights’) and removed from the scene.,2
33248,"Hi Tom, You can report crime via the Live Chat facility on our site  @TomPoole007",1
17704,"This weekend we:
 Shut down 125 parties and raves
 Broken up a gathering of 600 people in #Birmingham
 Closed a pub for 48 hours

Reckless gatherings increase the risk of spreading #COVID19. You could be putting your friends and family at risk.",1
3740,"“I’ve seen the ‘Ronaldinho’ technique used before, but this offender’s particular dance moves were the most bizarre I’ve ever seen. Part Bruce Forsyth, part Artful Dodger.""

The full story on how we brought the thief to justice.",1
2682,"Where we’re really concerned they could go on to break the law, we intervene and speak to them about their behaviour.

 We’re recording details of all these incidents so we have a better understanding of what’s going on &amp; where we should focus our efforts to prevent crime.",1
20796,"@saleha_xo Hi there. Since the update you replied to, we have made an arrest as part of this investigation.",1
36306,"A police officer suffered pelvic, leg &amp; shoulder injuries &amp; remains in a serious but stable condition in hospital. The officer’s family have been informed and are by his side.",1
11482,"It's another frosty morning 

REMEMBER - it only takes a few seconds for someone to jump in and drive away - always stay with your car as it defrosts! 

#frostymorningwarning #frostymorning",1
6774,@OldBlueyes But trust and confidence in policing are significantly lower among some Black people in the UK. George Floyd's death and global calls for change made UK policing reflect.,2
5886,"#GlobalMNDAwarenessDay | Meet our new puppies  that have been named in honour of inspirational figures who’ve been affected by motor neurone disease (MND) @MNDAssoc  - with a special surprise for our former ACC @ChrisJohnsonQPM 

Read More",1
8374,"“I miss his voice round my house and his infectious personality, for what?

“Whoever stabbed my son - it may have been an accident, but covering it up is intentional.”",2
40102,"A 28-year-old man has been arrested on suspicion of robbery and theft after his photo was shared on social media as part of ‘Wanted Wednesday.’ A BIG thank you to everyone who shared our appeal, we really appreciate it.",2
25182,"@SkeldingJustin @firearmsWMP Justin, we’re looking into the detail now. We will of course issue more updates when we can",2
22912,"@RaPiDkIlLzZz Hi, Alex. There's guidance about the right use of PPE, which @WMPolice and forces around the country are following. You can see the detail from @PoliceChiefs here.",2
11239,"Q: Do you think hate crimes aren't being talked about enough

Answer:",2
11243,"Q: Any advice on joining the police

Join us now   

Answer:",2
13294,"Detective Chief Supt Kenny Bell, head of Counter Terrorism Policing West Midlands CTU, said: “We are committed to finding those responsible for the terrible murders of 21 innocent victims almost 46 years ago.",1
7365,"@alliap2 As one of the most inclusive employers in the UK, we believe that we all have the right to be our true self at work #fairness #belonging.",2
31307,"This autumn help us to help you by using our website for non-emergencies.

 Quickly search for advice on any matter 

 Securely report crime online

 Talk to us within minutes on Live Chat between 8am-midnight

 Remember, if it's not 999, search: WMP Online.",1
32706,"Sadam’s brother Ismail: ‘He can’t do anything to get his victim’s life back, but he’s doing something good for the community so that another mother doesn’t lose their child.” #LIFEORKNIFE",2
18104,"#TRAFFIC | We are currently dealing with a collision on Gravelly Hill, Birmingham. The road is currently closed in both directions.  Please #AVOID, we appreciate your patience",1
7233,"Amin is 5ft 7ins tall and was last wearing a black coat, black tracksuit bottoms and trainers with an orange stripe.
 
He has links to Cleveland, Derby and London and anyone with information on his whereabouts is asked to contact us via live chat or by calling 101.",3
457,Have you seen Lee Hart? He's being sought by our colleagues @LancsPolice,3
21341,Multiple Stechford A Unit Officers on route to reports of a burglary in progress. House alarm has been activated. Unknown offenders have taken the callers vehicle... Area search being conducted and ANPR activations being monitored for stolen vehicle  #ResponseTakeover,1
15577,"We're still tackling breaches by using engagement, explanation, and encouragement. 

But we won't hesitate to use our powers to fine people who refuse to listen. 

If you're not sure on the latest rules, here's what changed earlier this week",1
13188,"WATCH: This is the moment one of our officers chased down a teenager who'd been walking through #Birmingham city centre armed with a huge hunting knife.

One of 55 arrests we made as part of #OpSceptre, a week-long knife crime offensive.

Full story",1
24527,Q: Are police officers being tested for #coronavirus?,2
38504,"Our @Trafficwmp units have worked into the early hours with offender managers acting as ‘spotters’ on the look-out for known offenders.

Specialist units, including @WMPDogs collectively targeted areas hit with burglaries &amp; near the home addresses of potential suspects",1
34328,@warmyourhome @PCZombie1 Hi if there's more footage that we don't have then it needs to be sent to us,2
18414,"We’re urging people to be on their guard against scammers who claim to represent HM Revenue and Customs (HMRC) and demand ’owed’ cash.
There were 45 reports of West Midlands residents being contacted &amp; told to hand over money, or face arrest, in two weeks:",1
1680,@Daws_WBA Hi there. This footage is not from the West Midlands Police area. You can find West Mercia's statement here.,1
9384,"#GOODNEWS Mackenzie Rogers has been found safe &amp; well. 

A BIG thank you to everyone who shared our appeal.",3
11712,"@smiffyinsutton @SuttonParkNNR Hi, Paul. Can you get in touch with us about this via Live Chat? Thanks.",1
4263,"Our thoughts are with everyone involved in the tragic events that took place in Plymouth, last night. 

We’re truly saddened by what's happened. 

Our sympathies go to the families and friends of those people that lost their lives or were injured.",2
855,"A retired officer proved old habits die hard after leaping into action to help us catch a thief.

Mark Richardson's instincts kicked in when he spotted a man stealing from a parked car in Bournville. 

Read the full story here",1
8399,"With a little help from @WMPDogs, the driver gives up and is taken into custody.",1
37649,"APPEAL| Do you recognise these men? We want to speak to them following a burglary on Central Avenue, #Tipton at 12.40pm on Wednesday 6 March. Please quote crime reference 20SW/55745E/19.",3
22913,"@nickprocter27 Hi, Nick. You can get in touch with us here to report breaches of restrictions, and blocked pavements. Thanks.",1
16956,"A number of witnesses are being spoken to, but anyone with information has been asked to contact us via Live Chat at  via 101, or via @CrimestoppersUK anonymously on 0800 555 111.

Quote log 1748.",3
13402,"The man in his 40s was hit by a black VW Golf on Dolphin Lane, at 12.30 and has been taken to hospital in a critical condition. 

We are urgently appealing for anyone with info or with dash cam footage to contact us, so we can piece together the moments leading to this collision.",3
17653,"@the_real_yvette @the_real_yvette Hi, Yvette. Can you contact us via Live Chat please to discuss your questions/concerns? Just visit",1
38818,Want to get involved and make a difference with Street Watch in your area? Here's how,1
19248,"Good morning! 

The bad news is our website will be down for around half an hour from 11.30am so that essential work can be carried out.

The good news is Live Chat is still available if you need to speak to an adviser. 

Apologies for any inconvenience.",1
9304,"""It’s been an aspiration for quite a long time and I’m really proud,"" she said. 

""It’s my dream job as I’m always following the football. I’m either listening to it on the radio, reading about it or watching it on the TV."" ️",2
