,base_text,tweet_class,pred_class
13168,"#BREAKING We've arrested four in connection with the death of a teenager in #Moston earlier this month. On 5 November, we were called to a report of a stabbing on Birchenall Street. Sadly, Alexander John Soyoye, 16, was pronounced dead at the scene. More:",1.0,3.0
16421,"Commander Kyle Gordon said: “I would urge anyone considering gathering in groups of more than 30 to consider the risk to themselves and others. """,1.0,2.0
1432,Video and information can also be submitted to GMP's Major Incident Public Portal at,3.0,1.0
12165,Detectives investigating a shooting on Middleton Road in #Hackney on Monday night have charged a man with multiple offences,1.0,3.0
35611,"Officers in Bradford have been hosting a CSE and Child Exploitation event at The Broadway Centre today. They have been joined by partners including Barnardo's, NHS CSE Specialist, Social Care CSE Specialist, St Giles Trust.",2.0,1.0
23622,"@ChopsyBristol Hi there, your report will help us build a picture of where people appear to be or are breaching the Government’s advice on physical social distancing and stay at home measures. This information will help to inform our policing patrols.",2.0,1.0
38206,"Latest News :  Men Charged Following Firearms Discharge, Bradford #police",1.0,3.0
33258,"Our officers will be out and about across the #NottingHillCarnival footprint, keeping everyone attending the festivities safe. If you have any questions or concerns throughout Carnival, please approach an officer who will be happy to help. In an emergency, please always call 999",1.0,2.0
22305,@cheesymike Hi Mike - thanks for your message. No decision has currently been made about the closure of the road at this time. We are currently reviewing this with the council and will announce a decision later in the week. We hope this helps. Thanks.,2.0,1.0
35600,"#BeSafeBeSound if you're heading to @GodivaFestival next weekend  

 Be patient with security checks and staff 
 Report anything suspicious to security 
 Enjoy the festival 
 RT to share the message 

For more info:",1.0,2.0
27971,@GuardianWMP  The best thing is that EVERYONE can take part in #OpTopDeck. We get loads of people submitting clips to this new(ish) website. Got a video of a driver ilegally using the phone? Send it in and we'll review it.,3.0,2.0
16407,"We've now arrested 6 on suspicion of murder since the fatal attack on Andre Gayle in #Bristol on B/Hol Mon.
D/Supt Riccio said: ""The key to justice for Andre lies in the community. Someone has that vital piece of evidence. Call 101. Tell us."" Full update:",1.0,3.0
33229,Come and visit our Greater Manchester Police Museum today from 10.30am. Entry is #FREE and there's lots of interesting things to see. We're on Newton Street in Manchester city centre. Last Entry 15:00. #GMParchives,1.0,2.0
35302,"Offered Yorkshire Stone at A Price so Low It's Criminal?  There’s Every Chance It Will Be, Wakefield Police Warn #police",1.0,2.0
23533,"@karlmfisher @LeoniePepperoni Hi Karl, no our teams have spoken on the phone with Leonie and this is now being investigated. Thank you.",2.0,1.0
5604,"#ARREST | We’ve arrested a man in connection with a collision on Stratford Road in #Sparkbrook which left a man with life-threatening injuries.

A 69-year-old was struck by a car on Saturday as the driver of the Mazda MX-5 made off on foot.

More here",1.0,3.0
40393,"Today, Linda's daughter Yvonne Cathrall said: ""“Not a day goes by when we don’t think about her and ask ourselves what happened that day.

“My brothers and I desperately wish to find out so that we can finally have some peace and closure.”

Full appeal:",3.0,2.0
6328,"Have you been a victim of or reported a crime in England and Wales in the past 3 years? 

The Victims’ Commissioner wants to hear about your experience of the criminal justice system:  

@VictimsComm @WYP_CHankinson",3.0,2.0
32936,Fourth male arrested as detectives continue to investigate a stabbing in #Croydon,1.0,3.0
12588,"Even in these challenging times, police are always here to help victims of domestic abuse.

We are urging all victims, and anyone who suspects a friend or family member who might be suffering at the hands of an abusive partner, to speak out.

 0808 2000 247

#YouAreNotAlone",3.0,2.0
36972,"#CHARGED| Officers investigating a crash in which a teenager died in #Dudley yesterday (Thursday 23 May) have charged a man in connection with her death.
Arthur Pinches, of High Oak in Brierley Hill has been charged with causing death by dangerous driving, and dangerous driving.",1.0,3.0
24838,"@hopinmypocket Hi, James. We're already getting lots of people telling us about potential breaches of the restrictions. You can let us know if there are large gatherings, via Live Chat at 
We'd ask you trust that we'll target the most problematic behaviour.",2.0,1.0
11093,"#GUILTY | Four people have been found guilty of murdering 15-year-old Keelan Wilson in Wolverhampton on 29 May 2018.

Keelan was attacked by the group in Strathfield Walk at around 11pm where he was sat in taxi. He was stabbed over 40 times.

Full story",1.0,3.0
37669,"@ParkingSelfish Hi again. The footage will be reviewed, but we can only deal with your report if you're willing to provide a statement and attend court if required.",2.0,1.0
17042,"Ch Insp Steve Kendall, the local area commander, said: “I'd like to reassure the local community the arrest was carried out by specialist officers from the Counter Terrorism Policing network.

“A 33yo man arrested remains in custody and there is no wider threat to the public.""",2.0,1.0
10257,"There's no set retirement age we have experts working in the department aged between 18 - 70!

#Forensics",1.0,2.0
6605,"Today’s demonstrations are now moving around central #London. 

All participants are reminded to follow public health guidelines for the safety of themselves and others.

For further updates please follow @MetPoliceEvents",1.0,2.0
17791,"As we look forward to another warm weekend,  @WYP_TimKingsman outlines the different restrictions in some areas across West Yorkshire, due to a rise in local infection rates.",1.0,2.0
39818,"Eamon Kenny, now 36, was abused by former football coach Stephen Francis Turton (10/06/1952) in the early 1990s while playing for a local youth team in Salford. He has bravely waived his right to anonymity in order to encourage other victims of child sexual abuse to report it.",1.0,2.0
30943,"The clocks go back tomorrow. Here's a kind reminder to not only check your clocks but your home security too.

 As the nights get darker we see a rise in break-ins. Burglars lookout for homes that look empty.

 Don't make your home an easy target: Lock up, lights on.",1.0,2.0
12626,"Latest News :  Update Regarding Explosion And House Fire, Green Lane, Illingworth, Halifax #police",1.0,3.0
445,"Another excellent bit of work by our detectives tackling organised crime in #Bury.

Each @GM_Challenger team in every #GreaterManchester borough continues to confront the scourge of organised crime in their area - targeting offenders and safeguarding victims of exploitation",2.0,1.0
13241,"Detective Chief Supt Kenny Bell, head of Counter Terrorism Policing West Midlands CTU, said: “We are committed to finding those responsible for the terrible murders of 21 innocent victims almost 46 years ago.",1.0,2.0
26569,#Update | A woman who was seriously injured in a collision in Sale has sadly died |,1.0,3.0
20044,"We are here to keep you safe. If you attend an illegal rave and need us, we won’t be able to get to you as quickly as normal. Stop and think. Is it worth the risk?",2.0,1.0
20164,Statement in relation to ongoing incident in #Eccles,1.0,3.0
21895,"Our IT team have been working flat out to keep us policing through the pandemic – as this striking new time-lapse shows.

The team have sourced 1,000 new laptops for officers and staff in critical roles who've been self-isolating or shielding. WOW.

#EverydayHeroes",2.0,1.0
11027,"@BluelightInfo Hello, comments around reducing numbers are incorrect. We're still working to the Police uplift programme, and we'll see an increase of at least 650 new officers in 2021/2022. Thank you.",1.0,2.0
35008,A man who was arrested by officers in #TowerHamlets #Poplar on 9 July has been released under investigation.,1.0,3.0
39893,"A 28-year-old man has been arrested on suspicion of robbery and theft after his photo was shared on social media as part of ‘Wanted Wednesday.’ A BIG thank you to everyone who shared our appeal, we really appreciate it.",2.0,3.0
22804,A man has been charged in connection with the attempted abduction of a woman in #Salford,1.0,3.0
31315,WATCH - Police and Crime Commissioner Sue Mountstevens and Superintendent Pete Warren reflect on the success of the first six months of Operation Remedy -,1.0,2.0
2218,"#OperationAVRO | If you’re local to #Walkden take a walk to the town centre this lunchtime as our officers are briefed ahead of this afternoon’s activity…

We’re keen to hear from you so we can continue to tackle the issues that matter to the public",3.0,2.0
41676,"Are you worried about the safety of your children when they are online? 

Today we're supporting @safeinternetday and we'd urge parents to visit the following sites for advice &amp; support.

@CEOPUK -  
@GetSafeOnline -  

#SID2019",1.0,2.0
21418,"@angelretchh Hello, if you know the officer attempting to contact you, you can use livechat or 101 to pass a message back to them. Alternatively, if you wait officers will attempt to contact you again if they have not already done so. Thank you.",2.0,1.0
29767,"“Our best search team is members of the public who have responded incredibly to appeals by us and the family - appeals which have helped to increase awareness of who Colin is, what he looks like and why we need to find him."" DCI Fiona Gaffney",3.0,2.0
5803,@Adamadamant1111 This is not an incident in Birmingham. It shows an incident from Dublin from 15 June. Gardai are investigating.,2.0,3.0
36715,A 53-year-old man has died after an altercation in Harrow on Thursday. A 32-year-old man has been arrested and bailed pending further enquiries,1.0,3.0
33087,Our officers continue to help the City Centre community today during the #ExtinctionRebellion protests.  Don't forget to follow @OfficialTfGM for travel updates to ensure you can get where you need to be.,1.0,2.0
9984,"Knife crime is truly devastating. Our thoughts remain with the family of this young boy 

#forensics",1.0,2.0
2827,"The family of 37-year-old Stephen Cadman, who died in Hartcliffe last month, have released a statement saying he was a 'good father' and will be 'greatly missed'.

For full tribute:",1.0,2.0
5872,"#GlobalMNDAwarenessDay | Meet our new puppies  that have been named in honour of inspirational figures who’ve been affected by motor neurone disease (MND) @MNDAssoc  - with a special surprise for our former ACC @ChrisJohnsonQPM 

Read More",1.0,2.0
1585,A man has been charged following a double stabbing in #Brentford which left a young man dead and an elderly woman in hospital.,1.0,3.0
23724,"@liam_omeara @TyBracey Hi Liam, Our officers stopped off at a few houses while out on patrol.",2.0,1.0
14690,@ClareJo5 That's what we're here for :) We're pleased he was found safe and well.,2.0,3.0
2222,"A loud and busy morning for our 200+ officers in #Salford this morning carrying out a number of address searches.

We’ll be bringing you all the updates from the action",2.0,1.0
11356,"Tomorrow is Human Trafficking Awareness Day. 
We are doing all we can to tackle this awful crime. If you suspect it could be happening on your street or in your workplace, tell us 
Modern Slavery Helpline 08000 121 700 or dial 999 in an emergency #HTAD2021",2.0,1.0
28660,"Chief Constable Andy Marsh is due on @bbcpointswest &amp; @itvwestcountry later after his community impact statement was read out at the sentencing of a 28-yr-old Bristol man who attacked 2 police officers, leaving one with an injury needing 14 stitches. More:",2.0,1.0
1949,"Are you aware of #PaymentDiversionFraud?

 This is where fraudsters target individuals, creating or amending invoices and diverting payments to bank accounts under their own control.

 Learn how to stay safe here",1.0,2.0
18929,A 32-year-old man is in police custody after a woman was raped along the #Manchester canal.,1.0,3.0
2666,Today is #WorldMentalHealthDay and this year's focus is 'Mental Health in an Unequal World'. Visit Every Mind Matters for tips and advice to look after your mental wellbeing:,1.0,2.0
16734,"We are aware that the coming #BankHolidayWeekend may see a number of large gatherings in indoor or outdoor spaces. 

We strongly advise people not to attend any large gathering for the protection of yourselves and others. We are still in the middle of a global pandemic.",1.0,2.0
22783,"Officers in Stockport wanted to help NHS workers during these challenging times. With the help of local residents &amp; businesses they have donated a range of goodies &amp; PPE, including biscuits for that well-earned tea break &amp; face masks  #StayHomeSaveLives",1.0,2.0
24196,"The innovative Telephone Witness Statement system implemented by West Yorkshire Police, is being shared nationwide to help other police forces cope with their demand and further reduce the spread of Coronavirus.

Find out more at:",1.0,2.0
17916,"Over the weekend, we’ve sadly seen a spate of violence across #London 

#TacklingViolenceTogether remains our top priority. But we are not complacent and cannot do this alone.

We need to hear from anyone who has information about crime. 

We need this to help keep London safe.",3.0,2.0
15202,"@SimonJOConnor Hi, Simon. We don't let up in the fight against crime. Today we've secured the conviction of a teenager for terrorism offences, and are continuing to investigate the double murder of two men in Dudley. See our timeline for full details.",2.0,1.0
3677,"We want to hear from YOU |  How could we improve our police Twitter account? 

Complete the short, anonymous survey below to have your say.",3.0,2.0
6691,"A closure order has been granted against an address in Highbridge after we received reports of antisocial behaviour and drug dealing connected to the property.

Anyone facing similar issues in their neighbourhood should report it online or on 101.

More:",3.0,1.0
42510,"@FarendenSophie Hi Sophie, that's great you'd like to join our police family. We'd advise contacting our recruitment team directly: recruitment@avonandsomerset.police.uk - good luck!",1.0,2.0
6479,"Stop and search helps us keep Londoners safe.

In April, 444 weapons were seized across the capital and taken out of the hands of those intent on using them to commit a crime. 

If you have any information about knife crime, please report it to @CrimestoppersUK 100% anonymously.",3.0,1.0
26739,"Police investigating the stabbing of a 19-year-old man on Kingsley Road in #Hounslow on Tuesday, 4 February have charged a man",1.0,3.0
10448,"Ahead of this weekend's #PremierLeague games, #WeStandTogether with @MayorofGM @LCRMayor @MerseyPolice @ManUtd @ManCity @Everton and @LFC in condemning the racist abuse that too many players, officials and supporters continue to encounter, most recently on social media",1.0,2.0
24264,Police are investigating the death of a man in #Tameside,1.0,3.0
26768,Latest News :  West Yorkshire Police rated ‘Outstanding’ for efficiency in report out today #police,2.0,1.0
32025,"@Justme62538629 Hi there, we believe she may have travelled to Birmingham.",1.0,3.0
9977,"@volkswarren @volkswarren Hi, Paul. Can you get in touch with us via live chat to report this to us?",2.0,1.0
12356,"@SinWithAGrin86 Thanks Simon, appreciate you contacting us about this.",2.0,1.0
35764,Two men have been arrested as part of the Billy Cox murder investigation - Billy was shot and killed in #Clapham #Lambeth in 2007,1.0,3.0
12265,"#UPDATE | We’ve been investigating after bones were found on land off Damson Parkway, Solihull, on 4 November. 

Tests have now found that the bones are between 134 and 208 years old, and so are not linked to any of our investigations.

Full story",1.0,3.0
42000,"Is it snowing where you are?  Tweet us your pics. Here's one taken by @ASPMendip

As @metoffice has yellow weather warnings in-place, please take care on your drive home 

And if you have elderly/vulnerable neighbours, why not spare five minutes this eve to check on them",2.0,1.0
10427,"Update on additional community testing from @BristolCouncil and @sgloscouncil below.
Our officers and staff will continue to play their part in helping to stop the spread of COVID-19.
Please continue to stay at home to protect the NHS and save lives.",1.0,2.0
15320,"@fluff82J That's great news ! We do participate, you can find out more on our Cadet Scheme here",2.0,1.0
4809,"A 34-year-old man has been arrested in connection with our investigation into a serious sexual assault in Bristol. 

A teenage girl was seriously sexually assaulted in the early hours of Sunday 4 July 2021 in the Bedminster area of Bristol. 

Update here:",1.0,3.0
14847,"It’s a hostile environment for those who choose to commit moped crime on our streets.

Officers are out and using tactical contact - the deliberate use of a police vehicle - to stop suspects evading justice.

Catch Critical Incident on @BBCiPlayer

#TacticalContact #OpVenice",2.0,1.0
22066,"@OverlyRevived @GOVUK Hi Cuan, Are you asking whether your partner is allowed to travel to your home in order to stay there for the foreseeable future?",2.0,1.0
18340,"Tonight one our @WMPDogs teams has been joined by a student officer who is learning about the dog unit. In order to show her what our dogs can do, he demonstrated a search with PD George.",1.0,2.0
13710,"It’s great to see that during the first weekend of the second lockdown most people are adhering to the new restrictions.

We’re policing during unprecedented times but we appreciate &amp; understand the difficulties many of us are facing now.

Full details",1.0,2.0
9746,"Moffatt admitted charges relating to indecent images, as well as attempting to engage in sexual communication with a child and attempting to cause or incite a boy aged 13-15 to engage in sexual activity.

More",1.0,3.0
25918,"@BristolCouncil Those planning to attend should make their travel plans with care – walk, cycle or use public transport as there will be pressure on parking #BristolYS4C",2.0,1.0
33389,"Thank you for your kind words and well-wishes for our officer who was injured while trying to detain a suspect in Staple Hill. We appreciate all your support.

He remains in hospital in a stable condition and we’re continuing to give him and his family all the support they need.",2.0,3.0
11120,"Update on the #M5 collision below - which has closed the north and southbound carriageways between J14 Thornbury and J15 Almondsbury Interchange.

@HighwaysSWEST will be giving live-time updates on the closures in place.",1.0,3.0
19774,Latest News :  Halifax Man Jailed For Robbery and Burglary #police,1.0,3.0
28760,"The Met, along with other organisations from around the world, took part in the ’16 Days of Action’ campaign targeting domestic abuse, associated with White Ribbon Day.",1.0,2.0
8176,"Frank Beale worked as a cleaner with us at stations including @StechfordWMP and @MoseleyHeathWMP   for almost 13 years. 

The 73-year-old, from Hall Green passed away suddenly following an illness and was laid to rest at Yardley Crematorium last week (1 April).",2.0,3.0
11129,"Despite engaging with the people, explaining what was expected of them and encouraging them to move on, some did not listen.
We therefore had to enforce the rules and have so far have issued three fixed penalty noticed and made 11 arrests. They have been taken into police custody",2.0,1.0
26971,"Whilst at the White City Retail Park two young boys, Accier and Oliver from #Timperley, approached officers with chocolates as a thank you for keeping them safe.",2.0,3.0
39225,We're recruiting Detective Constables. Successful applicants will be appointed as a Student Officer before progressing to a Detective Constable. Find out more at:,1.0,2.0
8632,@jagsfan1971 @rachelparris @VJardineWMP The disciplinary process will still continue and he will still face a hearing in due course.,1.0,2.0
23612,@iducktwice That's one for @StaffsPolice,1.0,2.0
945,"#RESULT | Over the past month GMP's Asset Detention &amp; Recovery Unit has been granted just over £1m of criminal's illicit gains at proceeds of crime hearings.

Part of these funds will be reinvested into policing &amp; community projects across GM.

Full",1.0,2.0
34133,@warmyourhome @PCZombie1 Hi if there's more footage that we don't have then it needs to be sent to us,2.0,1.0
4592,"#CADETS | David Nwangwu is encouraging others to join the police Cadets after it helped him build his confidence &amp; make friends

The 16-year-old also gained key skills &amp; on #InternationalDayofFriendship is urging other to join @CadetsWMP 

Read more",1.0,2.0
10316,"DCI Cate Webb-Jones, from @ppuwmp said: “As well as work that will be on-going behind the scenes, we are circulating these images to encourage people to get in touch with information on where these people are &amp; also to encourage the suspects to hand themselves in.",1.0,2.0
38021,#ActionCountersTerrorism - ave you heard something that could be terrorist related? You could make the difference. #ACT,1.0,2.0
36653,A couple have been found guilty after a baby girl was murdered in #Wythenshawe.,1.0,3.0
26319,"Police have confirmed that a man who was shot in Queens Park, #Brent, has died of his injuries.

Eraj Seifi, 46 [pictured], was attacked on 29 January. Two people have been charged in connection with his death.",1.0,3.0
3360,@Freeheel63 We're sorry to hear about the damage to your car. Can you DM us your crime reference number and we can look into this for you?,2.0,1.0
34961,"Heading to @LoveboxFestival today? Here's some advice from @TerrorismPolice

 Be patient with security checks and staff
 Report anything suspicious to security 
 Have an amazing time!
 RT and share

#LoveboxFestival #GunnersburyPark #BeSafeBeSound",1.0,2.0
30894,"@AnjMc @intuTrafford @manarndale We’re aware of posts circulating which state that there are current threats to the Arndale and Trafford Centres in Greater Manchester.
Officers have reviewed these posts and can confirm these reports are false and there is no current and credible threat to either shopping centre.",2.0,1.0
10125,"@Stacexy88 @SheldonWMP Hi Stacey, Do you mind following us please so I can send you a message around this please? Thanks :)",2.0,1.0
42007,#RESULT - Officers from our Tactical Vehicle Intercept Unit saw a suspicious car in #NewtonHeath earlier. They followed the car and boxed it in to prevent a pursuit. Checks revealed the car was stolen from #Oldham. The driver is now keeping warm in one of our police cells.#TVIU.,1.0,3.0
25940,There is still time to vote for PC Louise McMullan &amp; Wolfie . Wolfie is waiting patiently for @Crufts next week &amp; would really appreciate a vote from you. Read their heart wrenching story here    @WMPDogs,1.0,2.0
28048,"Our officers are on-hand to ensure both sets of supporters are able to enjoy tonight's event without disruption.

If you have any concerns, please don't hesitate in speaking to any of our team present around the ground #MUNMCI #MUFC #MCFC",2.0,1.0
16724,"DCI Griffiths ""We are working around the clock to understand exactly what happened and find those responsible.”

We can be contacted via Live Chat on our website or by calling 101. Crimestoppers can be contacted anonymously on 0800 555 111 - tell us what you know not who you are.",1.0,3.0
13568,"#Edmonton | A man in his 40s has been arrested on suspicion of arson and other offences and is now in custody.

Road closures remain in place, motorists should avoid the area.

Anyone with images/videos of the incident is asked to upload them to",3.0,1.0
18491,"@AlumRockCF @WashwoodWMP @BordesleyWMP @CSuptMatShaer Insp Abid: “The footage is currently being investigated and I can assure the community that drug dealing remains a local priority for us. 
 
“We have stepped up patrols in the area and CCTV is currently being looked at for further intelligence opportunities...",2.0,1.0
21817,"Home should be the safest possible place for a child or young person, but in many cases home is where some of them are being neglected, harmed and abused.

If you are concerned that a child you know may be at risk, please speak up.

@Crimestoppers anonymously on 0800 555 111",1.0,3.0
32258,"Did you know more than 1,000 people a month now report incidents to us online? If it's not urgent, report a crime/incident, pass on info, ask a question or make a complaint here   It frees our call handlers for emergency 999 &amp; non-emergency 101 calls",2.0,1.0
42558,Five Arrested Over Leeds Robberies And Burglaries. #police,1.0,3.0
12877,"A teenager who reached 180mph in attempt to evade police has pleaded guilty.

Watch the moment officers moved in to arrest him as he attempted to re-fuel. Massive thank you to our colleagues in @NPASSouthEast for their support!",2.0,1.0
6838,@LittleBoats2020 We continue to review new material and will take action where necessary.,2.0,1.0
14777,"#TRAFFIC | We’re currently dealing with a serious collision in Bromley Lane #Kingswinford with colleagues from @OFFICIALWMAS and @WestMidsFire 
Road closures in place, please avoid the area.",1.0,3.0
