,base_text,tweet_class
39,"If you need to report domestic abuse, but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency. 

More at:",0
40,"Seen a dangerous driver? Got footage from your dash cam? 

Submit it to our portal:",0
41,"Just because you’ve pulled doesn’t mean your night will end with sex. 

Always #GetConsent. 

Sex without consent is rape.",0
42,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale, Halifax in relation to the crime of : Theft From Shop #police",0
43,"Living with the effects of sexual abuse can impact on your life in a variety of ways, if you're ready to speak about it, we're here to listen",0
44,"Did you know that controlling someone's money can be domestic abuse? 

Find out more at:",0
45,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime updates tailored to your interests. 

You can find out more at",0
46,"We want to remind everyone of the potential dangers of entering abandoned buildings and other places, such as building sites. 

Think carefully about the dangers of exploring these sites. It could result in serious injury or death.",0
47,"If you are worried about domestic abuse but don't want to speak to the police there are lots of agencies that can help and they are here for everyone. 

Find out more at:",0
48,"""West Yorkshire Police, what's your emergency?"" 

Recruitment for Contact Officers at our Contact Centre is now open.

Find out more at:",0
49,#ActionCountersTerrorism - If you see extremist or terrorist content online report it to police anonymously - ACT,0
50,Running away can make matters worse. There are people here to listen to your problems and offer advice,0
51,"🤔 What do you want to see from us on Twitter?

 There's still time to do our quick survey and help shape our social media future.

 Tell us what you like, and what you don't.

 Hit like, RT and leave a comment when you're done!

Start",0
52,"If you're worried about online grooming there are people who can help, who won't blame or judge you 

#WhoRUTalking2",0
53,"If you need to report domestic abuse but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency. 

More at:",0
54,The internet can be an amazing place for #YourChild but parents should remind them that people may not be who they say they are.,0
55,"Domestic abuse can take the form of physical violence but it can also be controlling behaviour. Help is available for everyone. 

Find out more:",0
56,"If you are worried that someone you know may be suffering domestic abuse, tell someone. 

Find out more at:",0
57,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime updates tailored to your interests. 

Find out more at",0
58,"Find out about our new Easy Street crime prevention campaign to help tackle burglaries. 

Find out more at:",0
59,"#Vacancy | We have an exciting opportunity to join @gmpolice as a Crime Recording &amp; Resolution Officer within the Operational Communications Branch!

Salary: £19,452 - £20,706 plus 20% shift allowance &amp; 15.07% weekend enhancement.

Find out more",0
60,"🤔 What do you want to see from us on Twitter?

 Take part in our quick survey to help shape the way we use social media.

 Tell us what you like, and what you don't.

 We want as many views as possible, so hit like and RT when you're done.

Start",0
61,"You can use our online form to report domestic abuse. In an emergency, always call 999. 

Find out more at:",0
62,"Criminals can target young people and force them into drug dealing, possessing weapons and violence. 

This can happen to any young person and is never the fault of the child or the parent. 

Click here if you are worried about your child",0
63,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft #police,0
64,Some male victims worry that if they report sexual abuse they won't be believed. That is not the case. We take all reports seriously and we're here to listen,0
65,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft non specific #police,0
66,"Are you an existing Police Officer looking to transfer into a Safeguarding role? 
We're inviting applications from existing DCs, Trainee Investigators and PCs for roles within Child / Adult Safeguarding and Domestic Abuse Investigation Teams. Read more at",0
67,"We want to hear from YOU |   How could we improve our police Twitter account? 

Complete the short, anonymous survey below to have your say.",0
68,"Domestic abuse can take the form of physical violence, but it can also be controlling behaviour. 

Help is available for everyone",0
69,"Has your car got keyless entry? 

If yes, here’s how to keep your car safe.",0
70,"Don’t push it if she’s not interested. No means no. 

Sex without consent is rape. #GetConsent",0
71,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft of Pedal Cycle #police,0
72,,0
73,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft non specific #police,0
74,"If you are worried that someone you know may be the victim of domestic abuse report it by calling us on 101 or 999 if it is an emergency. 

Find out more at:",0
75,"@vinnievoke Hi Vinnie, we can't take reports via Twitter as it's not monitored 24/7. You can report parking infringements to the local council:  Or report parking obstructions to your local policing team:",0
76,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime information tailored to your interests. 

You can find out more at",0
77,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale in relation to the crime of : Theft From Shop #police,0
78,"We are taking part in a national survey to help us better understand what our local communities want to see on our Twitter accounts. 

It's all anonymous and your responses will help shape our social media going forward.

Take the survey here:",0
79,We will treat all reports of domestic abuse sensitively and victims will be taken seriously.,0
80,"West Yorkshire Police has an Abusive Images Team which is dedicated to bringing to justice anyone who looks at indecent images of children. 

Find out more at:",0
81,"#B2022  With #1YearToGo until @birminghamcg22 we were in #Birmingham this week speaking to people about our work to ensure the games are #SafeandSecure.

 We have made our WMP Commonwealth Games website live too.

View the site",0
82,"Did you know that controlling someone's money can be domestic abuse? 

Find out more:",0
83,"#ReportOnline | If its not an emergency, you can report a crime or incident, pass on info about crime, ask a question or make a complaint through our website  
Online reporting frees our call handlers to deal with emergency 999 &amp; other non-emergency calls.",0
84,"#ReportOnline | Did you know you can report non-urgent crimes online? This includes road traffic incidents, antisocial behaviour and more. We have online reporting tools or livechat - where you can message a 101 operator. Visit our website to learn more",0
85,"Just because you’ve pulled doesn’t mean your night will end with sex. 

Always #GetConsent. Sex without consent is rape.

Find out more",0
86,"If you need to report domestic abuse but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency.",0
87,"If you are worried about any kind of domestic abuse, tell someone, we have specialist officers who can help",0
88,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees in relation to the crime of : Theft From Shop #police,0
89,"It doesn't matter who you are, if you look at indecent images of children online we will catch you and the repercussions are far reaching.",0
90,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds East in relation to the crime of : Theft #police",0
91,"Trust your instincts and seek advice.  

If you’re worried your child could be developing extremist views trust your instincts, #ACTEarly and share your concerns in confidence. We’re here to help you, and the person you care about.

#NetmumsACTEarly",0
92,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Public Order #police,0
93,"Older people can often be taken advantage of by members of their own family, who control them into giving them money. This is domestic abuse. 

If it is happening to you or someone you know, help is available",0
94,"Criminals will target young people and ask them to use their bank accounts for moving money which is linked to crimes such as firearms, drugs and human trafficking. 

Find out more at:",0
95,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Dewsbury in relation to the crime of : Theft From Shop #police",0
96,"Do you know who is talking to #YourChild online? People may not always be who they say they are. 

You can find out more at:",0
97,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Huddersfield in relation to the crime of : Theft From Shop #police",0
98,"| Have your say!

We are reviewing our use of Automatic Number Plate Recognition (ANPR) technology and want to hear from you. 

Please take a moment to complete the short survey below.",0
99,"Did you know you can mark &amp; register your bike on a police approved database, which will help us recover your bike if it is stolen⁉ 

 Register your bike 
 Mark &amp; Protect it 
 Apply warning label 
   
See @bikeregister for more",0
100,| Last week we welcomed our latest batch of new officers to the GMP family! Their #attestation #ceremonies were held at our Sedgley Park Training Centre on 2 July 2021. More  are available on our Flickr #gallery here,0
101,"Do you need to call 999 but too scared to speak or make a noise? Press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency #MakeYourselfHeard #SilentSolution",0
102,If you notice something suspicious that could be terrorist related don't delay. ACT #ActionCountersTerrorism,0
103,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft #police,0
104,"#Vacancy | We have an exciting opportunity to join Greater Manchester Police as a Crime Recording &amp; Resolution Officer within the Operational Communications Branch.

This post attract 20% shift allowance &amp; 15.07% weekend enhancement.

Find out more",0
105,"Please remember to stick to the rules of six people or two households indoors and up to 30 people outdoors.

 Don't let emotions spill into violence. Hate crime will also not be tolerated, whether it's in-person or online.",0
106,"Leave plenty of time to reach your destination safely, without speeding. Check your vehicle is in working order before setting off. Keep supplies on board in case you are caught in traffic.

 If you're drinking alcohol, drink responsibly and let someone else do the driving.",0
107,"Both males and females can become the victims of sexual assaults. 

Remember, consent is always needed from both parties 

Find out more at:",0
108,"If someone is pressuring you to use your bank account for saving or transferring money, this could be linked to serious crime.  Speak to an adult you trust or contact your bank for help. Find out more at:",0
109,"Do you need to call 999 but too scared to speak or make a noise? You can press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency #MakeYourselfHeard #SilentSolution",0
110,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft #police,0
111,"Do you have spare time in the week &amp; want to make a difference in your community? 
We're looking for people to become a Quality Assurance Volunteer within our Operational Communications Branch at our Force Headquarters. Email for info  cip-recruitment@gmp.police.uk.",0
112,"@philiphoward20 Hi Philip, we’re sorry to hear this but we can’t take complaints via Twitter. If you would like to make an official complaint, and have not done so already, you can make one at:  and it will be looked into - thank you",0
113,"Vulnerable people are being abused and trapped into Modern Slavery by gangs who exploit them for profit. Let's learn to spot the signs. #SlaveryOnYourDoorstep 

Find out more at:",0
114,"@ASPoliceHorses need your help 

They’re currently looking to recruit a new police horse to join the team. Please see the requirements in the image below 

Please email Hannah.Clarke@avonandsomerset.police.uk if you think you have a horse that may be suitable.",0
115,"Near miss caught on dash cam? Help us to make the roads safer, upload footage to West Yorkshire Safer Roads Op Snap.",0
116,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Batley and Spen in relation to the crime of : Theft From Shop #police",0
117,"@NYWELSH Hi Paul, thanks for your tweet. We can’t take reports via Twitter as it isn’t monitored 24/7. You can make a report via our website:  - thank you",0
118,"Do you want to unlock your potential? We're recruiting Special Constables now. 

Same Uniform, Same Pride, Same Purpose 

#BeSpecial",0
119,"We know that an increase in alcohol consumption, can often lead to physical violence and domestic abuse. If you know you've been violent in the past, help is available.",0
120,"Have your say  

You have just two days left to help us better understand how you feel about women’s safety.

Thank you to everyone who has already shared their thoughts and experiences, and with the help of @barnardos we asking for your views!!",0
121,If you are worried that your child may have become a victim of child criminal exploitation we have specially trained officers who are here to help.  They will never judge or blame the parent or the child,0
122,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Make off without payment #police,0
123,"If you want to leave an abusive relationship, there are places you can go and people who can help.

 Tap below for a list of charities and refuges.

#noexcuseforabuse",0
124,"Do you have spare time in the week &amp; want to make a difference in your community? 

We are looking for people to become a Quality Assurance Volunteer within our Operational Communications Branch in Force Headquarters. 

For more info contact cip-recruitment@gmp.police.uk.",0
125,"If someone's offered you money or expensive gifts in exchange for putting their money in your bank account, it might seem like a quick win, but there is probably a catch. Find out more at:",0
126,"We’re encouraging more people to make non-emergency reports to Police online

 Report crime &amp; incidents using our forms
 Talk to an operator using #Livechat 24/7
 Use a mobile, tablet or PC

This allows us to focus on those that need us most. More",0
127,"Did you know, you can report crime through our website, in your own time and at your own convenience. Our website is fully responsive and designed for use on smartphones &amp; tablets. Save time, do it online",0
128,Modern slavery could be happening on your doorstep. Let's learn to spot the signs. #SlaveryOnYourDoorstep.,0
129,Have you got dash cam footage of dangerous driving on the roads of West Yorkshire? You can now submit it to our portal:,0
130,"@WASP_BS7 Hi, thanks for your tweet. We can’t take reports via Twitter as it isn’t monitored 24/7. You can make a report via our website:  - thank you",0
131,"Did you know that if you can smell gas or are worried about gas safety, you can call 0800 111 999 at any time of the day or night? 

You can find out more at:",0
132,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Deception / Fraud #police,0
133,"Have you been offered some 'easy money' just for allowing someone else to use your bank account? If something seems too good to be true, it probably is. See our website for more information",0
134,@camden You can see our statement here,0
135,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Deception / Fraud #police,0
136,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Criminal Damage #police,0
137,If you see extremist or terrorist content online report it to police anonymously. Just #ACT #ActionCountersTerrorism,0
138,"Do you need to call 999 but too scared to speak or make a noise? Press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency - #SilentSolution #MakeYourselfHeard",0
139,"Do you need to contact police? Save time &amp; do it online!

 Report using our online forms
 Talk to a 101 operator using #Livechat
 Use a mobile, tablet or PC

Find out more",0
140,"Did you know Special Constables have the same training and the same powers as regular police officers? We're recruiting now! #BeSpecial 

Find out more at:",0
141,"Did you know you can contact us online 24/7 through our LiveChat service? Our dedicated contact centre team are available online to answer any of your non-emergency calls or queries. It's not 999, report it online. Visit  for more or to report a crime.",0
142,"@CrewSaratoga Hi, thanks for getting in touch. The social media team wouldn't be able to help with this but you can contact us using the general contact form on our website and your query will be directed to the relevant department:  - thank you",0
143,"Have your say 

We’ve launched a survey to better understand how you feel about women’s safety.

Recent tragic events have really provoked lots of emotions, conversations and people have been keen to share their thoughts and experiences. 

We’re listening",0
144,"West Yorkshire Police is working hard to keep you safe.

Help us manage demand by thinking carefully before calling 999 or our 101 non-emergency number, so we can help those in an emergency

You can use our online services:  

#ClickB4UCall #HelpUsToHelpYou",0
145,Stop and think before you attend an illegal rave.,0
146,"We would like to remind the public about the dangers of swimming in lakes, reservoirs, rivers and canals. 

Thinking of taking a dip to cool off from the warm weather? 

Please, think again. 

#ColdWaterKills.",0
147,"This week is Neighbourhood Watch Week. Are you interested in setting-up a watch in your neighbourhood? 

Be part of it and #LetsStayConnected. 

Find out more at:",0
148,"@JonBeale10 Hi Jon, thanks for getting in touch. If you suspect drug use or dealing is taking place in your neighbourhood, report it to us via our website:",0
149,"Are you interested in making a positive difference to the lives of young people in West Yorkshire?

We are recruiting Volunteer Police Cadet Leaders in #Bradford and #Leeds. 

Find out more at:",0
150,"Could you be a #PoliceCadetLeader? We are particularly looking for volunteers in Blackley or Wigan.
 
Apply if: 
A good communicator &amp; organised 
Has experience in delivering presentations/training &amp; working with young persons.

Email neighbourhoods-confidence@gmp.police.uk",0
151,Worried that your partner is trying to control your behaviour? This could be domestic abuse,0
152,"As restrictions on pubs and restaurants are lifted, please drink responsibly and be respectful of others around you. 

One punch can kill. 

Find out more at:",0
153,"🤔 Do you need help, or are you worried about a mate?

 There’s lots of support and people ready to help.

 Tap below to find out more.

#EyesOpen @WestMidsVRU",0
154,"With the school holidays approaching, if you are worried about forced marriage, we have specially trained officers who are here to help. 

Find out more at:",0
155,"Even if you are home, some sneak in burglars will still take their chances. Keep doors and windows locked, even when you're in.",0
156,"Watch that new friend who’s buying you things and ‘looking out for you’. 

 They might be trying to take advantage of you.

 It’s not your fault.

 Find out more about people who can help.

#EyesOpen @WestMidsVRU",0
157,Domestic abuse can take the form of physical violence but it can also be controlling behaviour. Help is available for everyone,0
158,You are our additional pairs of eyes which help us to keep our roads safer. we are able to take action against driving offences we otherwise wouldn't see. Submit dash cam footage to our portal:,0
159,Did you know that Clare's Law gives any member of the public the right to ask the Police if their partner or ex-partner poses a risk to them? Call us on 101 or submit a request online,0
160,"Even if you are home, some sneak in burglars will still take their chances, keep doors and windows locked where possible",0
161,"With Covid restrictions starting to lift, you may have more opportunities to see friends or family in person. If you are worried that they may have been suffering domestic abuse, tell someone",0
162,"Do you need to call 999 but too scared to speak or make a noise? You can press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency - #SilentSolution #MakeYourselfHeard",0
163,Stay safe online by only talking to people that you know in real life #WhoRUTalking2,0
164,"Become a member of the Independent Community Scrutiny Panel for your community. 

Give police honest feedback in how they use their stop and search powers

More info: 
Apply  ForceCommunityHub@gmp.police.uk

Deadline extended: Monday 17th May",0
165,Did you know that over 1million cycles were sold in the last 12 months? Are you doing everything you can to keep yours safe from burglars?,0
166,"Independent Community Scrutiny Panels are made up of members of the public who are representative of the local community. Become a member &amp; provide your honest opinion on how police use their stop &amp; search powers. 

Apply: ForceCommunityHub@gmp.police.uk",0
167,"We are still taking nominations for this years Diamond Awards  

Do you know an outstanding individual or group who has worked with the police &amp; gone the extra mile to keep your community safe? 

Then vote for them via The PCC's Community 'Thankyou' award! 

Nominate NOW",0
168,"Do you want to:  Have your say?  See how Police should be using their powers?  Give us your honest opinion about how we’re doing?
Become a member of the Independent Community Scrutiny panel. 

Apply  ForceCommunityHub@gmp.police.uk

 Deadline: Monday 17th May",0
169,Did you know that controlling someone's money can be domestic abuse? Click here for more information,0
170,West Yorkshire Police has an Abusive Images Team which is dedicated to bringing to justice anyone who looks at indecent images of children,0
171,"Going out for a drink tonight? Make sure you book a taxi for the way home. 

Don’t drink and drive, it’s not worth the risk. 

Find out more at:",0
172,Do you know who's talking to #YourChild online? People may not always be who they say they are. You can find out more at:,0
173,"We know that some people may be affected by the Manchester Arena Inquiry, which is normal. The inquiry is ongoing. If you're struggling, the Greater Manchester Resilience Hub is open Monday - Thursday 9am - 5pm &amp; Friday 9am - 1pm. Phone 0333 009 5071 Email gm.help@nhs.net",0
174,"We want YOUR honest opinion on:

How police use their stop &amp; search powers . Become a member of the Independent Community Scrutiny Panels and have your voice heard 

More info: 
Apply  ForceCommunityHub@gmp.police.uk",0
175,"#Vacancy | We are seeking a digital and engagement specialist to actively listen and engage with communities on social media and digital platforms, support force priorities and the Corporate Communication branch’s purpose.

Apply here",0
176,Did you know Special Constables have the same training and the same powers as regular police officers? We're recruiting now! #BeSpecial,0
177,"Become a member of the Independent Community Scrutiny Panel for your community. 

Give police honest feedback in how they use their stop and search powers

More info: 
Apply  ForceCommunityHub@gmp.police.uk",0
178,"Did you know you can get access to hundreds of Frequently Asked Questions in the new Ask The Police tool built in to our website? Simply search or use the easy to use A-Z of our most commonly asked questions, save time, do it online, find out more at",0
179,"#Vacancy | We have an opportunity to join Greater Manchester Police as a Social Media &amp; Engagement Officer, working within the Corporate Communications branch. 

Apply here",0
180,We're recruiting Special Constables. If you're between 18 and 60 you can apply,0
181,"#ScamAlert | Nationally over 34,000 fraud victims reported receiving calls about their National Insurance (NI) number. We're asking the public to remain vigilant &amp; be cautious of any calls received mentioning their NI number becoming compromised. Please share &amp; raise awareness",0
182,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime updates tailored to your interests. Find out more at",0
183,"We've been busy with phone calls this week. Did you know there's other ways you can report a non-emergency crime to GMP? 
 #ReportOnline  
 #Livechat  (blue chat button) 

 Keep the phone lines free for those who need them",0
184,Need an update about a crime you’ve reported? Try our #livechat service on our website  Its an easy way to contact us for non-emergencies.,0
185,"#ReportOnline | Our phone lines are forecast to be busier than usual this weekend, so instead of calling please consider using our #livechat service or reporting online. It’s very easy to do and can save time waiting on the phone. Find out more here",0
186,"We're looking for enthusiastic people who want to make a real difference to the communities of West Yorkshire, to join our Special Constables #BeSpecial",0
187,"If you're looking at indecent images of children online you will be caught, get help to change your behaviour before it's too late.  Anonymous advice &amp; information is available from Stop It Now. Confidential Helpline 0808 1000 900",0
188,"As our towns and cities get busier. Please remember to remain vigilant.  

If you see something that doesn’t look right, ACT and report it.  

#CommunitiesDefeatTerrorism",0
189,"Older people can often be taken advantage of by members of their own family, who control them into giving them money. This is domestic abuse. If it is happening to you or someone you know, help is available",0
190,"Greater Manchester Police are expecting a high number of 999 calls this bank holiday weekend 

 Only call 999 in an emergency. 

 For non-emergencies #ReportOnline or using #Livechat. Keep phone lines free for those who need them.",0
191,"If you're a victim of #domesticabuse you can now access support safely and discreetly at participating pharmacies.

If a pharmacy has the ASK FOR ANI symbol on display, this means they are ready to help.

For further information visit:  

#YouAreNotAlone",0
192,Is your car your pride and joy? Don't leave car keys on show in your home. It might encourage a burglar to break in. Find out more at:,0
193,"Are you worried that a friend, neighbour or colleague is a victim of domestic abuse? If something doesn't feel right, tell someone. You can speak to the Police or if you prefer to remain anonymous you can call Crimestoppers on 0800 555 111.",0
194,"You are our additional pairs of eyes which help us to keep our roads safer. we are able to take action against driving offences we otherwise wouldn't see. 

Submit dash cam footage to our portal:",0
195,"Could you be a Special Constable? We're recruiting now. Same Uniform, Same Pride, Same Purpose #BeSpecial",0
196,"If you are worried that a child could be at risk of neglect or abuse during Covid-19, the NSPCC have advice on spotting the signs of who you can contact. More at:",0
197,"How secure is your garden shed? Make sure sheds, outbuildings and garages are as secure as possible. Find out more at:",0
198,"FACEBOOK LIVE IN THE AIR! 

Join us LIVE on Wednesday from 7pm as we take to the skies on Facebook &amp; Instagram with @dronesWMP 

We will be live from #Coventry promoting safe &amp; legal drone flying during @Coventry2021. 

More  

#wmplive",0
199,"This week our officers are taking part in extra activity to combat knife crime as part of #OpSceptre.

Normally we would be talking directly to young people in schools, but we are still not able to do that. So we're asking for your help to talk to your child knives. #lifeorknife",0
200,"Do you need to call 999 but too scared to speak or make a noise? You can press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency #SilentSolution #MakeYourselfHeard",0
201,"If you look at indecent images of children, it's never too late to change your behaviour. Anonymous advice &amp; information is available from Stop It Now. Confidential Helpline 0808 1000 900",0
202,"Our new virtual reality car park puts you in the shoes of a car thief – so you can learn how to better protect your vehicle. 

Racing Driver and motoring journalist Vicki Butler-Henderson explains how it works. @VB_H

Try it for yourself",0
203,"If you are worried that a child could be at risk of neglect or abuse during Covid-19, the NSPCC have advice on spotting the signs of who you can contact.",0
204,"Know a diamond who works for @WMPolice or a community member who has gone the extra mile to making the West Mids a safer place?

Our Diamond Awards are back, celebrating staff &amp; members of the public.

Know someone who deserves an award?

Nominate",0
205,"Try out our new virtual reality car park as it puts you in the shoes of a car thief. It shows you how to better protect your vehicle. 

Racing Driver and motoring journalist Vicki Butler-Henderson @VB_H explains how it works. 

Try it for yourself",0
206,If you feel you feel you might be at risk of domestic abuse you can use your 'right to ask' about your partner's history by calling 101 or using our new online form. If you are in immediate danger always call 999,0
207,"#StalkingAwarenessWeek | Download the @Hollie_Guard app today.

 If you're out on your own and don't feel safe, send an alert by shaking your phone or pressing the icon. 

 Your location is sent to your emergency contact, who can help you.

 Always dial 999 in an emergency.",0
208,"COVID-19 vaccines are only available through the NHS.
 
Make sure you know the facts to avoid being scammed",0
209,Could you benefit from our Telephone Witness Statement service? The service allows those who have been subject of a crime to provide a statement over the phone rather than attend a police station or receive a visit,0
210,"If you need to report domestic abuse, but don't want to do it over the phone, you can now use our new online form but always phone 999 in an emergency. Find out more at:",0
211,"It doesn't matter who you are, if you look at indecent images of children online we will catch you and the repercussions are far reaching",0
212,"#ScamAlert | Doorstep crime can affect anyone, but often elderly &amp; vulnerable people are targeted. Criminals may pose as police officers, a tradesperson, or say they're looking for a lost child/pet &amp; ask to look in your house. These criminals often appear convincing &amp; plausible",0
213,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Make off without payment #police,0
214,"West Yorkshire Police, what's the emergency? 

Recruitment for Contact Officers at our Contact Centre is now open. 

Apply now:",0
215,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds South in relation to the crime of : Theft From Shop #police",0
