,base_text,tweet_class
39,"#ACTEarly | Feeling left behind can sometimes make someone vulnerable to the risk of radicalisation.

 See how Micheal’s brother was drawn down a dangerous path, and get advice if you're concerned about a loved one.",1
40,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds West in relation to the crime of : Theft From Shop #police",3
41,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Huddersfield in relation to the crime of : Theft From Shop #police",3
42,"We’re reminding people to be vigilant when employing tradespeople to do work, following reports of rogue traders operating in West Yorkshire.

We advise that you check the credentials of anyone you do business with and be satisfied that they are legitimate and trustworthy.",1
43,"Mustafa was a follower of multiple radical clerics and promoted extreme views. 

Tap to visit the #ACTEarly website and see what he'd like to have said to his younger self.

You can also get advice and support if you are concerned that a loved one is going down the wrong path.",1
44,"Visiting a Christmas market this year?

Remember to take in your environment, and stay alert to anything that doesn’t feel right.

If in doubt, report it to 

It’s quick, easy, and saves lives.

#CommunitiesDefeatTerrorism",1
45,"She might have agreed to a drink, but that doesn’t mean she agreed to sex. 

Sex without consent is rape and we take all reports of sexual assault very seriously.

Find out more",1
46,"#AllMenCan make a difference by being an upstander for women’s safety, not a bystander to intimidation and violence. 

#MakeThePromise to call out bad behaviour in other men. 

Find out more about being an upstander",1
47,"Most people who report incidents of stalking to us are female, but men can be victims too.  

We will treat all reports seriously and sensitively. If you are worried, we can help 

Find out more at:",1
48,"#ACTEarly | Micheal lost his brother to an extremist group. He wishes he could have spotted the signs earlier.

Tap below to see how his brother was drawn into extremism, and get support and advice if you are concerned about a loved one.",1
49,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft From Shop #police,3
50,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield, Wakefield Central in relation to the crime of : Theft From Shop #police",3
51,"Are you looking for a new role to inspire you and make a real difference within your local communities?

PCSO recruitment is open now:",1
52,"Latest #Police Staff #Job

Data Administrator
Digital Policing Directorate
#Wakefield

Salary £36,369 - £39,585 per annum
Vacancy Ref – IT526

The application process will close at 23:55 hrs on Wednesday 15th December 2021.

Read more and apply online at:",1
53,"Our PCSO recruitment window is open. 

Read more about the role if you’re interesting in joining us:",1
54,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Assault #police,3
55,"Reports from the public have assisted in identifying terrorist plots in the UK. 

 ACT on your instincts.

 Report suspicious behaviour online instantly and in confidence. 

You can help save lives 
 
#CommunitiesDefeatTerrorism",1
56,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield, Wakefield North West and South in relation to the crime of : Theft From Shop #police",3
57,"Download the @Hollie_Guardapp today.  

If you're out on your own and don't feel safe, send an alert by shaking your phone or pressing the icon.  

Your location is sent to your emergency contact, who can help you.  

Always dial 999 in an emergency.",1
58,"@MPSRTPC officers work jointly with @TfL to regularly carry out operations to improve female safety while using London's taxi and licensed vehicle network. 

This involves carrying out passenger welfare checks, random stop sites, and the use of undercover tactics.",1
59,"Come join #TeamGMP and choose a career that matters!
Click here to view our latest vacancies, and apply now",1
60,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft From Shop #police,3
61,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Public Order #police,3
62,"Looking for a new opportunity? Want to join the Police? Apply for our Business Administration Apprenticeship &amp; receive a level 3 qualification, as well as work alongside police officers and staff in a range of specialist policing support teams.

Apply",1
63,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Batley and Spen in relation to the crime of : Theft From Shop #police",3
64,"Off out tonight? 

As usual we’ll have lots of officers on patrol and we're working with bars to create safer spaces for fun nights out. 

Enjoy your night, stay safe and look out for each other. 

As ever, we are here if you need us. 

More",1
65,"Download the @Hollie_Guard app today.

If you're out on your own and don't feel safe, send an alert by shaking your phone or pressing the icon. 

Your location is sent to your emergency contact, who can help you.

Always dial 999 in an emergency.",1
66,"Latest #Police Staff #Job

Vehicle Preparation Technician 
Assets and Logistics
#Wakefield

Salary £26,865 - £28,725 per annum
Vacancy Ref – VB116

The application process will close at 23:55 hrs on 14th November 2021.

Read more and apply online at:",1
67,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft #police,3
68,"Any lone, plain-clothed police officer who engages with a woman on her own will now verify their identity through a new process. 

We know we need to regain women’s trust. 

We fully accept the onus is on us to verify we are who we say we are &amp; that we are acting appropriately.",2
69,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale in relation to the crime of : Theft From Shop #police,3
70,"Off out this weekend? 

As usual we’ll have lots of officers on patrol and we're working with bars to create safer spaces for fun nights out. 

Enjoy your night, stay safe and look out for each other. 

As ever, we are here if you need us. 

More",1
71,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Burglary #police,3
72,"Are you worried about someone you know being forced into marriage? You know it’s not what they want? 

 You can help by calling the @WestMidsPCC forced marriage 24/7 helpline on 0800 953 9777 

 You can also visit @Panahghar &amp; @RoshniBham for support 

@Darla_YouthCntr",1
73,"#Vacancy | We are recruiting Call Handlers to work within the Operational Communication Branch. 

 Full Time
 Force Headquarters
 £19,452 to £20,706 + shift allowance &amp; weekend enhancements

Apply here",1
74,"Have you locked your car? We’ve recently had reports of cars being stolen overnight – in this video motoring journalist @vb_h gives you some top tips to help keep your car safe. 

More advice can be found in our virtual car park Stealer Street",1
75,"You have a voice, you have a choice. 

 We want to hear from you. Call the West Midlands forced marriage 24/7 helpline on 0800 953 9777 

  You can also visit @Panahghar &amp; @RoshniBham for support 

@Darla_YouthCntr @WestMidsPCC",1
76,"Have you been offered some 'easy money' just for allowing someone else to use your bank account? 

If something seems too good to be true, it probably is. 

See our website for more information",1
77,"If you believe that you have been injected, or think it has happened previously, please report it to us.",1
78,"Our officers understand the genuine concerns that women have around their safety, particularly when in pubs, clubs and bars.

Instances of spiking by injection are thankfully rare, but here’s everything you need to know.",1
79,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Serious Offence #police,3
80,"#Vacancy | We have an exciting opportunity to join Greater Manchester Police as the Head of Legal Services.

Apply here",1
81,"The new #StreetSafe tool allows people to anonymously report locations where they feel or have felt unsafe. 

This will help police identify areas that need improving and make the streets safe for everyone, particularly women and girls.",1
82,"Don't want trick or treaters this Halloween? 

Halloween can leave some people feeling anxious. We are sharing our poster which can displayed in homes if you or someone you know doesn't want trick or treaters this year.",1
83,"Moved out for uni and on a date with someone new? 

If something doesn’t feel right and you want to get away from your date, then go to the bar and ask for ‘Angela’ 

Staff at the bar can discreetly help you out of the situation #AskForAngela",1
84,Officers are becoming increasingly concerned about Thamara and want to make sure she is safe and well. Anyone with information about Thamara's whereabouts should contact police on 0161 856 9169.,3
85,"If someone's offered you money or expensive gifts in exchange for putting their money in your bank account, it might seem like a quick win, but there is probably a catch. 

Find out more at:",1
86,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale in relation to the crime of : Theft #police,3
87,"Moved here for uni? 

 Download the free @Hollie_Guard app to help keep you safe when your out. 

 A simple tap or shake of your phone will alert your emergency contact and give them your location.

  Always call 999 in an emergency",1
88,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft non specific #police,3
89,"Back on the school run ! Motoring journalist @vb_h admits that as a Mum herself locking the car is often the last thing on her mind when she gets her kids home. 

Has your fob done its job?",1
90,"Domestic abuse can take the form of physical violence, but it can also be controlling behaviour. 

Help is available for everyone",1
91,"Do you need to call 999 but too scared to speak or make a noise? Press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency 

#MakeYourselfHeard #SilentSolution",1
92,"If you are worried that someone you know may be the victim of domestic abuse report it by calling us on 101 or 999 if it is an emergency. 

Find out more at:",1
93,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime information tailored to your interests. 

You can find out more at",1
94,"There are agencies across West Yorkshire who specialise in supporting men who have suffered sexual abuse. 

If you're ready to talk there are people who are here to listen and offer support",1
95,"We're looking for enthusiastic people who want to make a real difference to the communities of West Yorkshire, to join our Special Constables 

#BeSpecial",1
96,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft non specific #police,3
97,"If you need to report domestic abuse but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency.",1
98,"If you are worried about any kind of domestic abuse, tell someone, we have specialist officers who can help",1
99,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Make off without payment #police,3
100,"Near miss caught on dash cam? 

Help us to make the roads safer, upload footage to West Yorkshire Safer Roads Op Snap.",3
101,"Do you know who is talking to #YourChild online? People may not always be who they say they are. 

You can find out more at:",1
102,"If you are worried that someone you know may have been suffering domestic abuse, tell someone. There are lots of agencies who can help. 

Find out more at:",1
103,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft #police,3
104,"Criminals will target young people and ask them to use their bank accounts for moving money which is linked to crimes such as firearms, drugs and human trafficking. 

Find out more at:",1
105,"Modern slavery could be happening on your doorstep. Let's learn to spot the signs. #SlaveryOnYourDoorstep. 

Find out more at:",1
106,"The vehicle was illegal and dangerous, which is why it was crushed.",2
107,"Have you been asked to use your bank account to move or withdraw money for someone else? They might have offered you a cut of the money. 

This could be linked to a type of money laundering. 

Find out more at",1
108,"Domestic abuse can take the form of physical violence, but it can also be controlling behaviour. Help is available for everyone. 

Find out more at:",1
109,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale in relation to the crime of : Public Order #police,3
110,"Invited to a get-together and offered free drinks and lifts? If you don't know whose party it is and where it is, don't go",1
111,"There's still time to complete our social media survey.

We’re taking part in a national survey to help us better understand what you want to see on our Twitter accounts.

It's all anonymous and your responses will help shape our social media.",3
112,"If you feel you feel you might be at risk of domestic abuse you can use your 'right to ask' about your partner's history by calling 101 or using our online form. 

If you are in immediate danger always call 999",1
113,"If you are worried about domestic abuse but don't want to speak to the police, there are lots of agencies that can help. 

Find out more at:",1
114,If you notice something suspicious that could be terrorist related don't delay. ACT #ActionCountersTerrorism,1
115,"Did you know, you can get the latest update on the status of a previously reported crime, by entering your crime reference number on our Local Crime Tracker",1
116,"Do you know who's talking to #YourChild online? People may not always be who they say they are. 

You can find out more at:",1
117,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Burglary #police,3
118,"Going missing? New adult friends? Secretive behaviour?  Skipping school? Do you ""Know The Signs""?",1
119,"Did you know that Clare's Law gives any member of the public the right to ask the Police if their partner or ex-partner poses a risk to them? 

Call us on 101 or submit an online request",1
120,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Criminal Damage #police,3
121,Having problems at home? No matter what the issue running away isn't the answer. There are people who can help,1
122,"Did you know you can contact our Contact Centre (in a non-emergency) by using our ""101 Live Chat"" system? 

Save time, do it on line.",1
123,"People looking at indecent images of children often think it is a victimless crime as they are not physically abusing the child, but this is not the case",1
124,"Once you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime information tailored to your interests. 

You can find out more at",1
125,"We're looking for enthusiastic people who want to make a real difference to the communities of West Yorkshire to join our Special Constables.

#BeSpecial

Find out more at:",1
126,"Expectation – Designer clothes, expensive jewellery, exciting lifestyle…

Reality – Fear, arrest, up to 14 years in prison

For more information",1
127,"If you need to report domestic abuse, but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency. 

More at:",1
128,"Seen a dangerous driver? Got footage from your dash cam? 

Submit it to our portal:",3
129,"Just because you’ve pulled doesn’t mean your night will end with sex. 

Always #GetConsent. 

Sex without consent is rape.",1
130,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale, Halifax in relation to the crime of : Theft From Shop #police",3
131,"Living with the effects of sexual abuse can impact on your life in a variety of ways, if you're ready to speak about it, we're here to listen",1
132,"Did you know that controlling someone's money can be domestic abuse? 

Find out more at:",1
133,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime updates tailored to your interests. 

You can find out more at",1
134,"We want to remind everyone of the potential dangers of entering abandoned buildings and other places, such as building sites. 

Think carefully about the dangers of exploring these sites. It could result in serious injury or death.",1
135,"If you are worried about domestic abuse but don't want to speak to the police there are lots of agencies that can help and they are here for everyone. 

Find out more at:",1
136,"""West Yorkshire Police, what's your emergency?"" 

Recruitment for Contact Officers at our Contact Centre is now open.

Find out more at:",1
137,#ActionCountersTerrorism - If you see extremist or terrorist content online report it to police anonymously - ACT,1
138,Running away can make matters worse. There are people here to listen to your problems and offer advice,1
139,"What do you want to see from us on Twitter?

 There's still time to do our quick survey and help shape our social media future.

 Tell us what you like, and what you don't.

 Hit like, RT and leave a comment when you're done!

Start",3
140,"Yes to a drink isn’t yes to sex. 

Always #GetConsent. 

Sex without consent is rape.",1
141,"If you're worried about online grooming there are people who can help, who won't blame or judge you 

#WhoRUTalking2",1
142,"If you need to report domestic abuse but don't want to do it over the phone, you can use our online form but always phone 999 in an emergency. 

More at:",1
143,The internet can be an amazing place for #YourChild but parents should remind them that people may not be who they say they are.,1
144,"Domestic abuse can take the form of physical violence but it can also be controlling behaviour. Help is available for everyone. 

Find out more:",1
145,"If you are worried that someone you know may be suffering domestic abuse, tell someone. 

Find out more at:",1
146,"If you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime updates tailored to your interests. 

Find out more at",1
147,"Find out about our new Easy Street crime prevention campaign to help tackle burglaries. 

Find out more at:",1
148,"#Vacancy | We have an exciting opportunity to join @gmpolice as a Crime Recording &amp; Resolution Officer within the Operational Communications Branch!

Salary: £19,452 - £20,706 plus 20% shift allowance &amp; 15.07% weekend enhancement.

Find out more",1
149,"What do you want to see from us on Twitter?

 Take part in our quick survey to help shape the way we use social media.

 Tell us what you like, and what you don't.

 We want as many views as possible, so hit like and RT when you're done.

Start",3
150,"You can use our online form to report domestic abuse. In an emergency, always call 999. 

Find out more at:",1
151,"Older people can often be taken advantage of by members of their own family, who control them into giving them money. This is domestic abuse. 

If it is happening to you or someone you know, help is available.",1
152,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft #police,3
153,"Criminals can target young people and force them into drug dealing, possessing weapons and violence. 

This can happen to any young person and is never the fault of the child or the parent. 

Click here if you are worried about your child",1
154,"Are you worried that your partner is checking your phone or tracking you online? 

This could be domestic abuse",1
155,Some male victims worry that if they report sexual abuse they won't be believed. That is not the case. We take all reports seriously and we're here to listen,1
156,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft non specific #police,3
157,"Are you an existing Police Officer looking to transfer into a Safeguarding role? 
We're inviting applications from existing DCs, Trainee Investigators and PCs for roles within Child / Adult Safeguarding and Domestic Abuse Investigation Teams. Read more at",1
158,If you see extremist or terrorist content online report it to police anonymously. Just #ACT #ActionCountersTerrorism,1
159,"We want to hear from YOU |   How could we improve our police Twitter account? 

Complete the short, anonymous survey below to have your say.",3
160,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford, Bradford South in relation to the crime of : Theft From Shop #police",3
161,Modern slavery could be happening on your doorstep. Let's learn to spot the signs. #SlaveryOnYourDoorstep.,1
162,"Has your car got keyless entry? 

If yes, here’s how to keep your car safe.",1
163,"Don’t push it if she’s not interested. No means no. 

Sex without consent is rape. #GetConsent",1
164,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft of Pedal Cycle #police,3
165,,100
166,"@vinnievoke Hi Vinnie, we can't take reports via Twitter as it's not monitored 24/7. You can report parking infringements to the local council:  Or report parking obstructions to your local policing team:",1
167,"We are taking part in a national survey to help us better understand what our local communities want to see on our Twitter accounts. 

It's all anonymous and your responses will help shape our social media going forward.

Take the survey here:",3
168,We will treat all reports of domestic abuse sensitively and victims will be taken seriously.,1
169,"West Yorkshire Police has an Abusive Images Team which is dedicated to bringing to justice anyone who looks at indecent images of children. 

Find out more at:",1
170,"#B2022  With #1YearToGo until @birminghamcg22 we were in #Birmingham this week speaking to people about our work to ensure the games are #SafeandSecure.

 We have made our WMP Commonwealth Games website live too.

View the site",2
171,"Did you know that controlling someone's money can be domestic abuse? 

Find out more:",1
172,"#ReportOnline | If its not an emergency, you can report a crime or incident, pass on info about crime, ask a question or make a complaint through our website  
Online reporting frees our call handlers to deal with emergency 999 &amp; other non-emergency calls.",1
173,"#ReportOnline | Did you know you can report non-urgent crimes online? This includes road traffic incidents, antisocial behaviour and more. We have online reporting tools or livechat - where you can message a 101 operator. Visit our website to learn more",1
174,"Just because you’ve pulled doesn’t mean your night will end with sex. 

Always #GetConsent. Sex without consent is rape.

Find out more",1
175,Thinking of running away? Whatever the problem there are people who can help,1
176,"Invited to a get-together and offered free drinks and lifts? If you don't know whose party it is and where it is, don't go.",1
177,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Batley and Spen in relation to the crime of : Robbery #police",3
178,"Secretive behaviour? Going missing? Skipping school? New adult friends? Do you ""Know The Signs""?",1
179,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees in relation to the crime of : Theft From Shop #police,3
180,"It doesn't matter who you are, if you look at indecent images of children online we will catch you and the repercussions are far reaching.",1
181,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds East in relation to the crime of : Theft #police",3
182,"Trust your instincts and seek advice.  

If you’re worried your child could be developing extremist views trust your instincts, #ACTEarly and share your concerns in confidence. We’re here to help you, and the person you care about.

#NetmumsACTEarly",1
183,"Older people can often be taken advantage of by members of their own family, who control them into giving them money. This is domestic abuse. 

If it is happening to you or someone you know, help is available",1
184,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Kirklees, Dewsbury in relation to the crime of : Theft From Shop #police",3
185,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Robbery #police,3
186,"| Have your say!

We are reviewing our use of Automatic Number Plate Recognition (ANPR) technology and want to hear from you. 

Please take a moment to complete the short survey below.",3
187,"Did you know you can mark &amp; register your bike on a police approved database, which will help us recover your bike if it is stolen 

 Register your bike 
 Mark &amp; Protect it 
 Apply warning label 
   
See @bikeregister for more",1
188,| Last week we welcomed our latest batch of new officers to the GMP family! Their #attestation #ceremonies were held at our Sedgley Park Training Centre on 2 July 2021. More  are available on our Flickr #gallery here,1
189,"Do you need to call 999 but too scared to speak or make a noise? Press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency #MakeYourselfHeard #SilentSolution",1
190,"#Vacancy | We have an exciting opportunity to join Greater Manchester Police as a Crime Recording &amp; Resolution Officer within the Operational Communications Branch.

This post attract 20% shift allowance &amp; 15.07% weekend enhancement.

Find out more",1
191,"Please remember to stick to the rules of six people or two households indoors and up to 30 people outdoors.

 Don't let emotions spill into violence. Hate crime will also not be tolerated, whether it's in-person or online.",1
192,"Leave plenty of time to reach your destination safely, without speeding. Check your vehicle is in working order before setting off. Keep supplies on board in case you are caught in traffic.

 If you're drinking alcohol, drink responsibly and let someone else do the driving.",1
193,"Both males and females can become the victims of sexual assaults. 

Remember, consent is always needed from both parties 

Find out more at:",1
194,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Robbery #police,3
195,"If someone is pressuring you to use your bank account for saving or transferring money, this could be linked to serious crime.  Speak to an adult you trust or contact your bank for help. Find out more at:",1
196,"Do you need to call 999 but too scared to speak or make a noise? You can press 55 when dialling 999 from a mobile, this then tells the police that the call is a genuine emergency #MakeYourselfHeard #SilentSolution",1
197,"Get ready for an incredible insight into the world of crime scene investigators with 'Forensics: The Real CSI' – Tuesday, 6 July at 9pm on @BBCTwo.

 Got a question about how we use forensics to crack murder cases?

 Ask DCI Jim Munro in our LIVE Twitter Q&amp;A on the night.",2
198,"Do you have spare time in the week &amp; want to make a difference in your community? 
We're looking for people to become a Quality Assurance Volunteer within our Operational Communications Branch at our Force Headquarters. Email for info  cip-recruitment@gmp.police.uk.",1
199,"@philiphoward20 Hi Philip, we’re sorry to hear this but we can’t take complaints via Twitter. If you would like to make an official complaint, and have not done so already, you can make one at:  and it will be looked into - thank you",1
200,"Vulnerable people are being abused and trapped into Modern Slavery by gangs who exploit them for profit. Let's learn to spot the signs. #SlaveryOnYourDoorstep 

Find out more at:",1
201,"@ASPoliceHorses need your help 

They’re currently looking to recruit a new police horse to join the team. Please see the requirements in the image below 

Please email Hannah.Clarke@avonandsomerset.police.uk if you think you have a horse that may be suitable.",1
202,"Near miss caught on dash cam? Help us to make the roads safer, upload footage to West Yorkshire Safer Roads Op Snap.",3
203,"@NYWELSH Hi Paul, thanks for your tweet. We can’t take reports via Twitter as it isn’t monitored 24/7. You can make a report via our website:  - thank you",1
204,"Do you want to unlock your potential? We're recruiting Special Constables now. 

Same Uniform, Same Pride, Same Purpose 

#BeSpecial",1
205,"We know that an increase in alcohol consumption, can often lead to physical violence and domestic abuse. If you know you've been violent in the past, help is available.",1
206,"Have your say  

You have just two days left to help us better understand how you feel about women’s safety.

Thank you to everyone who has already shared their thoughts and experiences, and with the help of @barnardos we asking for your views!!",3
207,If you are worried that your child may have become a victim of child criminal exploitation we have specially trained officers who are here to help.  They will never judge or blame the parent or the child,1
208,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Make off without payment #police,3
209,"If you want to leave an abusive relationship, there are places you can go and people who can help.

 Tap below for a list of charities and refuges.

#noexcuseforabuse",1
210,"Do you have spare time in the week &amp; want to make a difference in your community? 

We are looking for people to become a Quality Assurance Volunteer within our Operational Communications Branch in Force Headquarters. 

For more info contact cip-recruitment@gmp.police.uk.",1
211,"If someone's offered you money or expensive gifts in exchange for putting their money in your bank account, it might seem like a quick win, but there is probably a catch. Find out more at:",1
212,"We’re encouraging more people to make non-emergency reports to Police online

 Report crime &amp; incidents using our forms
 Talk to an operator using #Livechat 24/7
 Use a mobile, tablet or PC

This allows us to focus on those that need us most. More",1
213,"Did you know, you can report crime through our website, in your own time and at your own convenience. Our website is fully responsive and designed for use on smartphones &amp; tablets. Save time, do it online",1
214,Have you got dash cam footage of dangerous driving on the roads of West Yorkshire? You can now submit it to our portal:,3
215,"It doesn't matter who you are, if you look at indecent images of children online we will catch you and the repercussions are far reaching",1
